regions(hg38),enhancer_activity_REF_1,enhancer_activity_REF_2,enhancer_activity_REF_3,enhancer_activity_REF_4,enhancer_activity_ALT_1,enhancer_activity_ALT_2,enhancer_activity_ALT_3,enhancer_activity_ALT_4,REF,ALT,Coding,Active_REF,Active_ALT,qvalue,pvalue,fold,"final_sig(1 DA enhancer; 2 IA enhancer, 0=no change)"
chr10:110703493-110703664,0.50273205,0.12966547,0.70264292,0.2556644,0.23563418,-0.1272936,-0.3808237,-0.4083881,-0.1702178,0.39767621,FALSE,0,1,0.06511816,0.02848263,0.56789401,0
chr10:110742265-110742436,0.19317946,0.02694524,0.41127739,0.27479291,0.51077967,0.79099452,0.62229421,0.42524928,0.58732942,0.22654875,FALSE,1,1,0.04695403,0.01853477,-0.3607807,0
chr10:110845744-110845915,0.08941262,0.11938061,0.01265594,0.10971713,-0.039,0.02021302,-0.2450582,0.0119066,-0.0629846,0.08279157,FALSE,0,0,0.1669376,0.09584381,0.14577622,0
chr10:11172537-11172708,0.10818501,0.02750703,-0.1594456,-0.0171755,-0.1514603,-0.4602669,-0.6951721,-0.1295337,-0.3591082,-0.0102323,FALSE,0,0,0.13885639,0.07549536,0.34887598,0
chr10:111972350-111972521,-0.0715586,0.05290644,-0.0993024,-0.1006928,0.14344468,-0.1800008,-0.2176249,-0.1467585,-0.1002349,-0.0546618,FALSE,0,0,0.72306121,0.63920144,0.04557306,0
chr10:113002073-113002244,-0.2423091,-0.4348413,0.00547464,-0.2171742,-0.3748172,0.12696169,0.28424464,-0.0890778,-0.0131722,-0.2222125,FALSE,0,0,0.37582587,0.27001923,-0.2090403,0
chr10:113063864-113064035,0.10910265,-0.2157809,0.05061712,-0.0630063,-0.1484182,0.03854434,-0.3890771,-0.1862546,-0.1713014,-0.0297669,FALSE,0,0,0.36485444,0.25936044,0.1415345,0
chr10:113658645-113658816,0.0796258,0.19918569,0.02039813,-0.0110438,-0.2412806,0.10366327,0.13020928,0.08874655,0.02033463,0.07204145,FALSE,0,0,0.71405043,0.62629648,0.05170681,0
chr10:114510168-114510339,-0.1178149,0.30846109,-0.0740347,-0.0415521,-1.8277439,-1.6527747,-1.7756309,-1.6882059,-1.7360888,0.01876484,FALSE,0,0,0.00122713,8.04E-05,1.75485368,0
chr10:116001376-116001547,-0.1609293,-0.0220555,-0.0625606,-0.0148465,-0.2107709,-0.2457474,-0.3041629,-0.0862466,-0.211732,-0.065098,FALSE,0,0,0.09445478,0.0457791,0.14663396,0
chr10:117594418-117594589,-0.4676548,-0.3445445,-0.4396388,-0.7146605,-0.2719286,0.11692899,-0.3620805,-0.0379169,-0.1387492,-0.4916246,FALSE,0,0,0.09012737,0.04330769,-0.3528754,0
chr10:11859571-11859742,0.21832852,-0.0718182,0.13590416,-0.0718089,-0.2121659,0.04639119,-0.2486591,-0.2011058,-0.1538849,0.0526514,FALSE,0,0,0.15223962,0.08487789,0.20653629,0
chr10:118674406-118674577,-0.3690111,-0.5001115,-0.2471867,-0.4120042,-0.1366168,0.11624622,-0.1856427,0.09823527,-0.0269445,-0.3820784,FALSE,0,0,0.03347079,0.0119081,-0.3551339,0
chr10:118683914-118684085,-0.4242904,-0.1594516,-0.2502249,-0.3395128,-0.0622171,-0.2156956,-0.2130698,-0.1427006,-0.1584208,-0.2933699,FALSE,0,0,0.17487486,0.10148952,-0.1349492,0
chr10:119271146-119271317,-0.1222924,-0.1960195,0.27190014,0.1070412,0.19663695,0.23440785,0.31499151,0.20555689,0.2378983,0.01515734,FALSE,1,0,0.20755211,0.12696236,-0.222741,0
chr10:119360470-119360641,-0.9895664,-0.6664062,-0.6654319,-0.6829026,0.35425426,-0.0308343,0.30682785,0.02105816,0.16282648,-0.7510768,FALSE,0,0,0.00333772,0.00042251,-0.9139033,0
chr10:119393525-119393696,-0.1491899,0.03795857,-0.1559439,-0.1076376,-0.2555387,0.00029204,-0.1424327,-0.1179257,-0.1289013,-0.0937032,FALSE,0,0,0.71603882,0.62969151,0.03519804,0
chr10:119403167-119403338,-0.1706968,-0.1894021,-0.1589014,-0.2239913,-0.3225558,-0.2786082,-0.0112216,-0.2050807,-0.2043666,-0.1857479,FALSE,0,0,0.8589597,0.80687153,0.01861866,0
chr10:119656522-119656693,-0.0230136,0.09411577,0.09679826,-0.2906897,0.19179524,0.22756003,0.42619871,0.22651588,0.26801747,-0.0306973,FALSE,1,0,0.08143228,0.03800298,-0.2987148,0
chr10:119671810-119671981,0.28704123,0.38677059,0.51895574,0.38710258,-0.1158198,0.35734001,0.03115273,0.20302393,0.11892421,0.39496754,FALSE,0,1,0.12813934,0.06795492,0.27604332,0
chr10:119693396-119693567,-0.0313681,-0.1698195,0.10593837,-0.1455742,-0.0415322,0.2405243,0.28578732,0.20036674,0.17128653,-0.0602059,FALSE,1,0,0.10734653,0.05427967,-0.2314924,0
chr10:120681101-120681272,-0.5280539,-0.5050307,-0.2922417,-0.1388411,-0.0624173,0.36761615,-0.227064,-0.1268955,-0.0121901,-0.3660418,FALSE,0,0,0.13740945,0.07455025,-0.3538517,0
chr10:12120996-12121167,-0.061362,-0.0656101,-0.2887804,-0.1694066,-0.0142357,-0.0665485,-0.0193238,-0.0686314,-0.0421849,-0.1462898,FALSE,0,0,0.23243086,0.14603968,-0.1041049,0
chr10:121339824-121339995,-0.0668426,0.43870409,-0.4629279,-0.0900221,-0.007574,-0.361151,-0.0100481,-0.0090809,-0.0969635,-0.0452721,FALSE,0,0,0.86349377,0.81252435,0.0516914,0
chr10:121709799-121709970,-0.1651073,0.3708665,-0.0552452,-0.0554637,-0.0157688,-0.0004357,-0.0671522,-0.0246822,-0.0270097,0.02376256,FALSE,0,0,0.77312778,0.69861374,0.05077228,0
chr10:121795089-121795260,0.06569204,-0.28334,-0.2285588,0.02314573,-0.0671538,0.14734582,0.00872098,-0.1944586,-0.0263864,-0.1057653,FALSE,0,0,0.61356328,0.51071327,-0.0793789,0
chr10:12181775-12181946,-0.2589974,-0.2197179,-0.2784073,0.07067311,-0.0706513,-0.1556088,0.14026985,-0.0703547,-0.0390863,-0.1716124,FALSE,0,0,0.35295707,0.24927542,-0.1325261,0
chr10:121920778-121920949,0.08166698,-0.3054058,0.0255895,0.09382841,0.06546222,-0.1417796,-0.2841517,0.03105177,-0.0823543,-0.0260802,FALSE,0,0,0.74789937,0.66719453,0.05627411,0
chr10:121920980-121921151,-0.121596,0.30045793,0.26952653,-0.0063503,-0.305389,-0.1791424,-0.2387151,-0.3200433,-0.2608224,0.11050953,FALSE,0,0,0.07113688,0.03183691,0.37133197,0
chr10:122044186-122044357,-0.1764515,0.02290715,0.11068301,0.05464627,0.45630694,0.06359487,0.3100436,0.06500561,0.22373776,0.00294624,FALSE,1,0,0.18852444,0.11193231,-0.2207915,0
chr10:122119403-122119574,0.35518937,0.20151604,0.30694477,0.14461355,-0.0500679,0.05602125,-0.0343088,0.20318538,0.04370748,0.25206593,FALSE,0,1,0.07426029,0.03388543,0.20835845,0
chr10:122390887-122391058,0.13625686,0.14532679,0.14003084,0.13345449,-0.4120436,-0.5713166,-0.3889113,-0.34646,-0.4296829,0.13876725,FALSE,0,1,0.00695415,0.00135652,0.56845014,0
chr10:124617065-124617236,-0.1056832,-0.2029653,-0.3111491,-0.1015923,-0.0435796,-0.0080809,-0.0834403,-0.0734687,-0.0521424,-0.1803475,FALSE,0,0,0.13908194,0.07565006,-0.1282051,0
chr10:124617742-124617913,-0.1540986,-0.0967042,0.09899018,0.07772261,-0.4345675,-0.7522174,-0.5956492,-0.4966295,-0.5697659,-0.0185225,FALSE,0,0,0.00608549,0.00109867,0.55124339,0
chr10:124638761-124638932,0.0980655,0.39374152,0.08724915,-0.0546164,0.61297654,0.5710626,0.56048046,0.4234009,0.54198012,0.13110996,FALSE,1,0,0.04085367,0.01537311,-0.4108702,0
chr10:124742146-124742317,-0.0214486,0.24691026,0.0193677,-0.0024519,0.0134229,-0.1954021,-0.0658012,-0.0476189,-0.0738498,0.06059437,FALSE,0,0,0.21850095,0.13517133,0.1344442,0
chr10:124766969-124767140,-0.0260088,-0.1174721,-0.2722068,-0.2173807,-0.0046235,0.0783813,-0.1437551,-0.0561208,-0.0315295,-0.1582671,FALSE,0,0,0.20977836,0.1286144,-0.1267376,0
chr10:125115641-125115812,0.08439359,0.16378683,0.18041637,0.23354066,-0.2936312,-0.0981228,0.02438372,-0.1506448,-0.1295038,0.16553436,FALSE,0,1,0.03702903,0.01357532,0.29503813,0
chr10:125134516-125134687,0.56865713,0.28927925,0.58059957,0.3898369,0.32642859,0.23452372,0.04978652,0.14384408,0.18864572,0.45709321,FALSE,1,1,0.0647623,0.02826724,0.26844749,0
chr10:125153287-125153458,-0.0689897,0.00189594,-0.0051583,0.20088883,-0.0577488,-0.1726764,0.45875186,-0.0910006,0.03433151,0.0321592,FALSE,0,0,0.99292627,0.98949212,-0.0021723,0
chr10:125825547-125825718,0.36187019,0.27903529,0.26078414,0.18453495,0.8377117,0.67490715,1.14112007,0.86005123,0.87844754,0.27155614,FALSE,1,1,0.01708208,0.00480914,-0.6068914,1
chr10:126891653-126891824,-0.0769541,0.10997975,0.77473126,0.25853722,0.03280311,-0.1307445,0.01355431,-0.0522255,-0.0341531,0.26657353,FALSE,0,1,0.2954743,0.19832273,0.30072666,0
chr10:126894703-126894874,0.12547122,-0.0580623,-0.0635821,-0.0594974,0.33465483,0.17598636,0.27643339,0.19741853,0.24612328,-0.0139176,FALSE,1,0,0.01812783,0.00520804,-0.2600409,0
chr10:129275605-129275776,-0.1035591,-0.2653951,-0.153451,-0.2923681,0.01675618,0.21262353,-0.1374852,0.11577424,0.05191718,-0.2036933,FALSE,0,0,0.07338387,0.03323171,-0.2556105,0
chr10:130901559-130901730,-0.1041813,0.01992066,-0.0844427,-0.002411,-0.1946315,-0.1315187,-0.2239281,-0.2109904,-0.1902672,-0.0427786,FALSE,0,0,0.02707653,0.00905881,0.14748856,0
chr10:130932856-130933027,0.73540871,0.6342212,0.82709073,0.7657961,-1.1174219,-1.0397889,-1.3063103,-0.9992589,-1.115695,0.74062919,FALSE,0,1,0.00021887,3.38E-06,1.8563242,2
chr10:131424080-131424251,0.09363337,-0.2261116,-0.2483168,-0.1692292,0.29946626,0.18896994,0.12767472,0.24664087,0.21568795,-0.1375061,FALSE,1,0,0.03699467,0.01355419,-0.353194,0
chr10:131727134-131727305,0.2588529,0.31582173,0.53112236,0.17908518,0.46404166,0.56735024,0.47256728,0.57383405,0.51944831,0.32122054,FALSE,1,1,0.13404343,0.07216772,-0.1982278,0
chr10:132142536-132142707,-0.8368242,-0.8139441,-0.8417916,-0.7059754,-1.1182327,-1.1180363,-1.1972626,-1.1755153,-1.1522617,-0.7996338,FALSE,0,0,0.00224195,0.00021505,0.35262789,0
chr10:132416598-132416769,-0.2285509,-0.5061421,-0.3628249,-0.2540327,0.03358951,-0.0891804,-0.1101476,-0.1935938,-0.0898331,-0.3378876,FALSE,0,0,0.05339684,0.02203836,-0.2480546,0
chr10:132465618-132465789,-0.1198787,-0.0487598,-0.1195612,-0.1582855,-0.6078131,-0.4212522,-0.2597016,-0.4356622,-0.4311073,-0.1116213,FALSE,0,0,0.04194605,0.01601629,0.31948598,0
chr10:132538842-132539013,-0.0404512,0.00837195,-0.3509625,-0.3083298,-0.0116272,-0.4996509,0.27024443,-0.1229964,-0.0910075,-0.1728429,FALSE,0,0,0.75430977,0.67552205,-0.0818354,0
chr10:132577711-132577882,-0.132176,0.05166956,0.03299317,-0.0051957,-0.0167007,-0.0653056,-0.0635831,-0.0162047,-0.0404485,-0.0131772,FALSE,0,0,0.6647096,0.56891908,0.0272713,0
chr10:132630055-132630226,-1.3932129,-1.1325113,-0.8939536,-0.7720389,-0.0284628,-0.0535727,-0.0934662,-0.0097398,-0.0463104,-1.0479292,FALSE,0,0,0.0171652,0.00485628,-1.0016188,0
chr10:132935241-132935412,-0.6417479,-0.5813711,-0.6898222,-0.6071241,-0.2053849,-0.0692496,-0.0793829,0.04300847,-0.0777522,-0.6300163,FALSE,0,0,0.00345413,0.00044839,-0.5522641,0
chr10:133252827-133252998,-0.0406295,-0.208284,-0.2236964,-0.217756,0.08693561,0.3056955,0.20005545,-0.1263299,0.11658916,-0.1725915,FALSE,0,0,0.09124171,0.0439273,-0.2891806,0
chr10:13700209-13700380,0.61813987,0.44276874,0.5138895,0.42765538,-0.2011833,-0.1014543,-0.2190898,-0.0573293,-0.1447642,0.50061337,FALSE,0,1,0.00079615,3.52E-05,0.64537755,2
chr10:13700655-13700826,0.13315387,0.09675856,0.01354948,0.15069574,-0.8288619,-0.6426903,-1.0396732,-1.0496512,-0.8902192,0.09853941,FALSE,0,1,0.00595623,0.00105061,0.98875857,2
chr10:13789463-13789634,-0.1417737,-0.2768195,0.14655955,0.18260196,0.06065988,0.10196566,-0.014172,0.22079054,0.09231103,-0.0223579,FALSE,0,0,0.50809066,0.39890447,-0.114669,0
chr10:14089345-14089516,0.07209086,0.06229548,-0.1242974,-0.0243282,0.59842165,0.65112245,0.39463289,0.38011746,0.50607361,-0.0035598,FALSE,1,0,0.00734413,0.00146815,-0.5096334,0
chr10:14837900-14838071,-0.0053232,0.16238816,0.11921225,0.11366593,-0.3309955,-0.3408936,-0.5954072,-0.3682909,-0.4088968,0.09748579,FALSE,0,0,0.00608833,0.00109216,0.50638258,0
chr10:14845341-14845512,-0.0492659,0.209851,0.12296263,-0.1878266,0.16214902,-0.3845834,-0.2867144,-0.3831129,-0.2230654,0.02393028,FALSE,0,0,0.26773755,0.17507579,0.24699568,0
chr10:14955434-14955605,0.21449825,0.15874933,-0.0626687,-0.0223103,-0.3091424,-0.2975261,-0.4329966,-0.2274872,-0.316788,0.07206714,FALSE,0,0,0.01618078,0.00446585,0.38885518,0
chr10:1606683-1606854,-0.0776576,-0.1888981,-0.3940225,-0.2713682,-0.0026295,-0.0726404,-0.2786765,0.06188848,-0.0730145,-0.2329866,FALSE,0,0,0.24967374,0.15969448,-0.1599721,0
chr10:16815792-16815963,-0.5556209,-0.7585927,-1.0166709,-0.6019331,-0.3257879,-0.0302817,-0.2700221,0.02792215,-0.1495424,-0.7332044,FALSE,0,0,0.01869316,0.00545235,-0.583662,0
chr10:16817121-16817292,0.51215111,0.65113577,0.79124878,0.62414044,-0.5943899,-0.3585806,-0.3150799,-0.2959273,-0.3909944,0.64466902,FALSE,0,1,0.000736,3.21E-05,1.03566346,2
chr10:16822466-16822637,-0.7348374,-0.7870454,-0.7281955,-1.0268889,-0.0907217,0.12263737,-0.2161102,-0.1349933,-0.079797,-0.8192418,FALSE,0,0,0.00291882,0.00033179,-0.7394448,0
chr10:16830011-16830182,0.05087327,0.05673963,0.00751587,0.03114889,0.02155745,-0.0201593,0.19375636,0.13092587,0.08152009,0.03656942,FALSE,0,0,0.54044593,0.43240659,-0.0449507,0
chr10:16832275-16832446,0.31470906,-0.1136793,0.09700076,0.2930049,-0.1194058,0.37738437,-0.1744224,-0.1117109,-0.0070387,0.14775886,FALSE,0,0,0.49306062,0.38141996,0.15479756,0
chr10:17286564-17286735,-0.325088,0.11416513,0.31394085,-0.1473631,-0.2084905,-0.4138267,-0.3172807,0.02821926,-0.2278447,-0.0110863,FALSE,0,0,0.36070375,0.2558277,0.21675838,0
chr10:18145433-18145604,0.39045723,0.26415545,0.16592511,0.27942124,-0.0604691,0.26830144,0.10580496,0.10764434,0.1053204,0.27498976,FALSE,0,1,0.15698027,0.08817246,0.16966935,0
chr10:1870870-1871041,-0.1236554,-0.0064899,-0.2422915,0.00104673,0.19527264,0.2717167,0.28036744,0.15808385,0.22636016,-0.0928475,FALSE,1,0,0.01948918,0.00575194,-0.3192077,0
chr10:18792898-18793069,0.46927436,0.58007085,0.69513803,0.50400659,0.36222587,0.5911991,0.53266138,0.48358303,0.49241734,0.56212246,FALSE,1,1,0.46822552,0.35637824,0.06970511,0
chr10:20465029-20465200,-0.1112363,-0.2115929,-0.1955653,-0.0026212,-0.0267302,-0.1445333,-0.2609482,-0.3169454,-0.1872892,-0.1302539,FALSE,0,0,0.60946056,0.5063146,0.0570353,0
chr10:20894142-20894313,0.20961279,0.08331134,-0.0916727,-0.167702,0.1338751,0.35174134,0.19981235,0.4310514,0.27912005,0.00838735,FALSE,1,0,0.10065845,0.04964455,-0.2707327,0
chr10:20918665-20918836,0.27390361,0.13991094,0.36310825,-0.0253308,-0.7471188,-0.8654645,-1.0680645,-0.9280862,-0.9021835,0.187898,FALSE,0,1,0.00118873,7.51E-05,1.09008149,2
chr10:22555227-22555398,1.12960137,0.9391429,0.87298866,1.11013643,0.10375505,-0.0115146,-0.1645027,-0.03015,-0.0256031,1.01296734,FALSE,0,1,0.00059109,1.95E-05,1.03857039,2
chr10:26906695-26906866,0.33613459,0.18100317,0.28327091,0.35890916,0.64335884,0.373316,0.69225781,0.38557683,0.52362737,0.28982946,FALSE,1,1,0.1187747,0.06137286,-0.2337979,0
chr10:27776736-27776902,0.23634249,0.12798192,0.03594712,0.01181043,0.11528332,-0.0467578,0.07307668,0.1802465,0.08046218,0.10302049,FALSE,0,0,0.82235401,0.7578854,0.02255831,0
chr10:27803570-27803741,-0.0280095,-0.2853945,-0.0246873,0.12335295,0.44752734,0.52654951,0.41245769,0.35715494,0.43592237,-0.0536846,FALSE,1,0,0.01997645,0.0059372,-0.4896069,0
chr10:29113534-29113705,-0.8169404,-0.6956234,-0.7677407,-0.7720238,0.24571777,0.30351827,0.10706612,0.00162522,0.16448184,-0.7630821,FALSE,1,0,0.00273448,0.00029318,-0.9275639,1
chr10:29240725-29240896,0.20579717,0.35887003,0.73915262,0.24989713,0.37139551,0.12402162,0.07488414,0.15096788,0.18031729,0.38842924,FALSE,1,1,0.29260774,0.19626376,0.20811195,0
chr10:29252874-29253045,-0.0220542,0.02382451,-0.1387502,0.01417362,0.19287214,0.01401918,0.19733961,0.05186055,0.11402287,-0.0307016,FALSE,1,0,0.1100113,0.05583004,-0.1447244,0
chr10:29370145-29370316,0.85997107,0.94715041,0.8613077,0.99948173,-0.2921449,-0.7376577,-0.0273811,-0.4699325,-0.3817791,0.91697773,FALSE,0,1,0.01030573,0.00234534,1.29875679,2
chr10:29370311-29370482,-0.0958686,0.01619937,-0.2798868,-0.2118931,-0.6988756,-0.544822,-0.8895786,-0.3920479,-0.631331,-0.1428623,FALSE,0,0,0.03234726,0.01138158,0.48846876,0
chr10:3000018-3000189,0.09441505,0.24499909,-0.0778169,-0.0390797,-0.1073224,-0.2412717,-0.1573045,-0.3875354,-0.2233585,0.05562939,FALSE,0,0,0.06318777,0.0274343,0.27898789,0
chr10:30153812-30153983,-0.1945511,-0.319736,-0.1945106,-0.2249448,-0.4067701,-0.3688449,-0.1939632,-0.4846872,-0.3635664,-0.2334356,FALSE,0,0,0.20388877,0.12382823,0.13013075,0
chr10:30788500-30788671,-0.1073749,0.22411802,0.11105404,-0.102685,0.68121706,0.5991218,0.6240577,0.68452528,0.64723046,0.03127805,FALSE,1,0,0.01364462,0.00347958,-0.6159524,1
chr10:30903792-30903963,0.2603049,0.38435525,0.47972548,0.2166933,0.40946599,0.12678616,0.0328618,0.22866749,0.19944536,0.33526973,FALSE,1,1,0.32999696,0.22872282,0.13582437,0
chr10:3103737-3103908,0.59880756,0.58564512,0.72731355,0.51780044,-0.1510257,0.0568586,-0.1377239,-0.0756495,-0.0768851,0.60739167,FALSE,0,1,0.00089357,4.35E-05,0.6842768,2
chr10:3119338-3119509,-0.0847443,0.15798516,0.24901867,0.2531741,-0.0860625,0.01804216,0.13823945,0.13925869,0.05236944,0.14385842,FALSE,0,0,0.49342375,0.38226973,0.09148898,0
chr10:3260712-3260883,0.10614782,0.15692686,0.12821758,-0.0457987,-0.3964519,-0.0406521,-0.1489994,-0.0302622,-0.1540914,0.08637338,FALSE,0,0,0.11587585,0.05947421,0.2404648,0
chr10:34305949-34306120,-0.4241174,-0.1632807,-0.1776037,0.18682123,-0.3759589,-0.2783393,-0.10858,0.18165261,-0.1453064,-0.1445452,FALSE,0,0,0.99782545,0.99667509,0.00076126,0
chr10:34348550-34348721,-0.4924933,0.16378889,-0.0897475,0.09162617,0.31640226,0.30492633,0.10679516,0.09448311,0.20565171,-0.0817064,FALSE,1,0,0.23116495,0.14508439,-0.2873581,0
chr10:34646611-34646782,0.02294808,-0.1900246,-0.1668459,-0.2491948,-0.0665728,-0.304047,-0.2899148,-0.1113024,-0.1929592,-0.1457793,FALSE,0,0,0.69089727,0.59738639,0.04717993,0
chr10:3482530-3482701,-0.9456218,-0.5023776,-1.3924152,-0.4402221,-0.0218414,0.25801923,0.26204216,0.02102659,0.12981164,-0.8201592,FALSE,0,0,0.04597125,0.01803023,-0.9499708,0
chr10:35337389-35337560,-0.1587712,-0.2040678,-0.2416056,-0.3972166,-0.1995736,-0.1608662,-0.1432802,-0.1399818,-0.1609254,-0.2504153,FALSE,0,0,0.27566991,0.18210613,-0.0894899,0
chr10:35573393-35573564,-0.19473,-0.2111488,-0.2328219,-0.3596388,-0.2498267,-0.1559732,0.07091649,-0.0971992,-0.1080207,-0.2495849,FALSE,0,0,0.21131486,0.12975132,-0.1415642,0
chr10:36918386-36918557,0.24704002,0.25458261,0.27023346,0.05354141,0.53532448,0.34262377,0.33114694,0.31802863,0.38178096,0.20634937,FALSE,1,1,0.10418545,0.05198462,-0.1754316,0
chr10:3768243-3768414,-1.1137082,-0.9499742,-0.8969662,-0.9545012,-0.3852016,-0.1622323,-0.4797512,-0.4436605,-0.3677114,-0.9787875,FALSE,0,0,0.00466498,0.00070346,-0.611076,0
chr10:44394232-44394403,-0.2708802,-0.4163481,-0.1851034,-0.3276781,0.05141875,-0.1226056,-0.0869152,0.11969867,-0.0096008,-0.3000025,FALSE,0,0,0.02636602,0.00867519,-0.2904016,0
chr10:44515120-44515291,-0.1772626,0.16874248,-0.1589014,0.11153265,-0.8475118,-0.766667,-0.6590288,-0.5516865,-0.7062235,-0.0139722,FALSE,0,0,0.00612397,0.0011155,0.6922513,0
