,Unnamed: 0,guide_chr,guide_start,guide_end,score,strand,protospacer_target,intended_target_region,gene_target,source,closest_gene,closest_dist,closest_gene_target,closest_dist_target
61,61,chr20,57266627,57266645,.,-,chr20:57266627-57266645(-),chr20:57266591-57266656,BMP7_P1P2,OpenTargets,BMP7,18,BMP7,18
62,62,chr20,57266609,57266627,.,+,chr20:57266609-57266627(+),chr20:57266591-57266656,BMP7_P1P2,OpenTargets,BMP7,18,BMP7,18
63,63,chr20,57266591,57266609,.,-,chr20:57266591-57266609(-),chr20:57266591-57266656,BMP7_P1P2,OpenTargets,BMP7,18,BMP7,18
64,64,chr20,57266638,57266656,.,-,chr20:57266638-57266656(-),chr20:57266591-57266656,BMP7_P1P2,OpenTargets,BMP7,18,BMP7,18
65,65,chr20,57266624,57266642,.,-,chr20:57266624-57266642(-),chr20:57266591-57266656,BMP7_P1P2,OpenTargets,BMP7,18,BMP7,18
66,66,chr2,202376295,202376313,.,+,chr2:202376295-202376313(+),chr2:202376237-202376395,BMPR2_P1P2,CHDgene.au,BMPR2,11,BMPR2,11
67,67,chr2,202376237,202376255,.,+,chr2:202376237-202376255(+),chr2:202376237-202376395,BMPR2_P1P2,CHDgene.au,BMPR2,11,BMPR2,11
68,68,chr2,202376362,202376380,.,-,chr2:202376362-202376380(-),chr2:202376237-202376395,BMPR2_P1P2,CHDgene.au,BMPR2,11,BMPR2,11
69,69,chr2,202376374,202376392,.,-,chr2:202376374-202376392(-),chr2:202376237-202376395,BMPR2_P1P2,CHDgene.au,BMPR2,11,BMPR2,11
70,70,chr2,202376369,202376387,.,+,chr2:202376369-202376387(+),chr2:202376237-202376395,BMPR2_P1P2,CHDgene.au,BMPR2,11,BMPR2,11
71,71,chr2,202376377,202376395,.,-,chr2:202376377-202376395(-),chr2:202376237-202376395,BMPR2_P1P2,CHDgene.au,BMPR2,11,BMPR2,11
72,72,chr15,83284408,83284426,.,+,chr15:83284408-83284426(+),chr15:83284408-83284667,BNC1_P1P2,TFPerturbSeq,BNC1,127,BNC1,127
73,73,chr15,83284627,83284645,.,+,chr15:83284627-83284645(+),chr15:83284408-83284667,BNC1_P1P2,TFPerturbSeq,BNC1,127,BNC1,127
74,74,chr15,83284643,83284661,.,-,chr15:83284643-83284661(-),chr15:83284408-83284667,BNC1_P1P2,TFPerturbSeq,BNC1,127,BNC1,127
75,75,chr15,83284595,83284613,.,-,chr15:83284595-83284613(-),chr15:83284408-83284667,BNC1_P1P2,TFPerturbSeq,BNC1,127,BNC1,127
76,76,chr15,83284649,83284667,.,+,chr15:83284649-83284667(+),chr15:83284408-83284667,BNC1_P1P2,TFPerturbSeq,BNC1,127,BNC1,127
77,77,chr15,83284446,83284464,.,-,chr15:83284446-83284464(-),chr15:83284408-83284667,BNC1_P1P2,TFPerturbSeq,BNC1,127,BNC1,127
78,78,chr17,67825489,67825507,.,-,chr17:67825489-67825507(-),chr17:67825489-67825611,BPTF_P1P2,TFPerturbSeq,BPTF,47,BPTF,47
79,79,chr17,67825536,67825554,.,+,chr17:67825536-67825554(+),chr17:67825489-67825611,BPTF_P1P2,TFPerturbSeq,BPTF,47,BPTF,47
80,80,chr17,67825531,67825549,.,+,chr17:67825531-67825549(+),chr17:67825489-67825611,BPTF_P1P2,TFPerturbSeq,BPTF,47,BPTF,47
81,81,chr17,67825589,67825607,.,-,chr17:67825589-67825607(-),chr17:67825489-67825611,BPTF_P1P2,TFPerturbSeq,BPTF,47,BPTF,47
82,82,chr17,67825593,67825611,.,-,chr17:67825593-67825611(-),chr17:67825489-67825611,BPTF_P1P2,TFPerturbSeq,BPTF,47,BPTF,47
83,83,chr17,67825499,67825517,.,+,chr17:67825499-67825517(+),chr17:67825489-67825611,BPTF_P1P2,TFPerturbSeq,BPTF,47,BPTF,47
84,84,chr7,140924873,140924891,.,-,chr7:140924873-140924891(-),chr7:140924700-140924923,BRAF_P1P2,CHDgene.au,BRAF,118,BRAF,118
85,85,chr7,140924876,140924894,.,-,chr7:140924876-140924894(-),chr7:140924700-140924923,BRAF_P1P2,CHDgene.au,BRAF,118,BRAF,118
86,86,chr7,140924858,140924876,.,+,chr7:140924858-140924876(+),chr7:140924700-140924923,BRAF_P1P2,CHDgene.au,BRAF,118,BRAF,118
87,87,chr7,140924700,140924718,.,+,chr7:140924700-140924718(+),chr7:140924700-140924923,BRAF_P1P2,CHDgene.au,BRAF,118,BRAF,118
88,88,chr7,140924905,140924923,.,+,chr7:140924905-140924923(+),chr7:140924700-140924923,BRAF_P1P2,CHDgene.au,BRAF,118,BRAF,118
89,89,chr7,140924897,140924915,.,+,chr7:140924897-140924915(+),chr7:140924700-140924923,BRAF_P1P2,CHDgene.au,BRAF,118,BRAF,118
90,90,chr14,90397060,90397078,.,-,chr14:90397060-90397078(-),chr14:90397015-90397457,CALM1_P1P2,OpenTargets,CALM1,207,CALM1,207
91,91,chr14,90397015,90397033,.,+,chr14:90397015-90397033(+),chr14:90397015-90397457,CALM1_P1P2,OpenTargets,CALM1,207,CALM1,207
92,92,chr14,90397065,90397083,.,-,chr14:90397065-90397083(-),chr14:90397015-90397457,CALM1_P1P2,OpenTargets,CALM1,207,CALM1,207
93,93,chr14,90397032,90397050,.,+,chr14:90397032-90397050(+),chr14:90397015-90397457,CALM1_P1P2,OpenTargets,CALM1,207,CALM1,207
94,94,chr14,90397227,90397245,.,+,chr14:90397227-90397245(+),chr14:90397015-90397457,CALM1_P1P2,OpenTargets,CALM1,207,CALM1,207
95,95,chr14,90397439,90397457,.,-,chr14:90397439-90397457(-),chr14:90397015-90397457,CALM1_P1P2,OpenTargets,CALM1,207,CALM1,207
96,96,chr2,47176187,47176205,.,-,chr2:47176187-47176205(-),chr2:47176133-47176899,CALM2_P1P2,OpenTargets,CALM2,5,CALM2,5
97,97,chr2,47176504,47176522,.,-,chr2:47176504-47176522(-),chr2:47176133-47176899,CALM2_P1P2,OpenTargets,CALM2,5,CALM2,5
98,98,chr2,47176741,47176759,.,+,chr2:47176741-47176759(+),chr2:47176133-47176899,CALM2_P1P2,OpenTargets,CALM2,5,CALM2,5
99,99,chr2,47176560,47176578,.,-,chr2:47176560-47176578(-),chr2:47176133-47176899,CALM2_P1P2,OpenTargets,CALM2,5,CALM2,5
100,100,chr2,47176881,47176899,.,-,chr2:47176881-47176899(-),chr2:47176133-47176899,CALM2_P1P2,OpenTargets,CALM2,5,CALM2,5
101,101,chr2,47176133,47176151,.,-,chr2:47176133-47176151(-),chr2:47176133-47176899,CALM2_P1P2,OpenTargets,CALM2,5,CALM2,5
102,102,chr19,46601272,46601290,.,+,chr19:46601272-46601290(+),chr19:46601272-46601540,CALM3_ENST00000291295.9,OpenTargets,CALM3,76,CALM3,76
103,103,chr19,46601277,46601295,.,-,chr19:46601277-46601295(-),chr19:46601272-46601540,CALM3_ENST00000291295.9,OpenTargets,CALM3,76,CALM3,76
104,104,chr19,46601472,46601490,.,+,chr19:46601472-46601490(+),chr19:46601272-46601540,CALM3_ENST00000291295.9,OpenTargets,CALM3,76,CALM3,76
105,105,chr19,46601522,46601540,.,-,chr19:46601522-46601540(-),chr19:46601272-46601540,CALM3_ENST00000291295.9,OpenTargets,CALM3,76,CALM3,76
106,106,chr19,46601502,46601520,.,-,chr19:46601502-46601520(-),chr19:46601272-46601540,CALM3_ENST00000291295.9,OpenTargets,CALM3,76,CALM3,76
107,107,chr19,46601279,46601297,.,+,chr19:46601279-46601297(+),chr19:46601272-46601540,CALM3_ENST00000291295.9,OpenTargets,CALM3,76,CALM3,76
108,108,chr17,4987256,4987274,.,+,chr17:4987256-4987274(+),chr17:4987228-4987616,CAMTA2_P1P2,TFPerturbSeq,CAMTA2,39,CAMTA2,39
109,109,chr17,4987228,4987246,.,+,chr17:4987228-4987246(+),chr17:4987228-4987616,CAMTA2_P1P2,TFPerturbSeq,CAMTA2,39,CAMTA2,39
110,110,chr17,4987413,4987431,.,-,chr17:4987413-4987431(-),chr17:4987228-4987616,CAMTA2_P1P2,TFPerturbSeq,CAMTA2,39,CAMTA2,39
111,111,chr17,4987260,4987278,.,+,chr17:4987260-4987278(+),chr17:4987228-4987616,CAMTA2_P1P2,TFPerturbSeq,CAMTA2,39,CAMTA2,39
112,112,chr17,4987598,4987616,.,-,chr17:4987598-4987616(-),chr17:4987228-4987616,CAMTA2_P1P2,TFPerturbSeq,CAMTA2,39,CAMTA2,39
113,113,chr17,4987583,4987601,.,-,chr17:4987583-4987601(-),chr17:4987228-4987616,CAMTA2_P1P2,TFPerturbSeq,CAMTA2,39,CAMTA2,39
114,114,chr13,27969143,27969161,.,-,chr13:27969143-27969161(-),chr13:27968887-27969277,CDX2_P1P2,TFPerturbSeq,CDX2,233,CDX2,233
115,115,chr13,27969084,27969102,.,+,chr13:27969084-27969102(+),chr13:27968887-27969277,CDX2_P1P2,TFPerturbSeq,CDX2,233,CDX2,233
116,116,chr13,27969235,27969253,.,+,chr13:27969235-27969253(+),chr13:27968887-27969277,CDX2_P1P2,TFPerturbSeq,CDX2,233,CDX2,233
117,117,chr13,27968887,27968905,.,+,chr13:27968887-27968905(+),chr13:27968887-27969277,CDX2_P1P2,TFPerturbSeq,CDX2,233,CDX2,233
118,118,chr13,27969259,27969277,.,+,chr13:27969259-27969277(+),chr13:27968887-27969277,CDX2_P1P2,TFPerturbSeq,CDX2,233,CDX2,233
119,119,chr13,27969240,27969258,.,+,chr13:27969240-27969258(+),chr13:27968887-27969277,CDX2_P1P2,TFPerturbSeq,CDX2,233,CDX2,233
120,120,chrX,73447054,73447072,.,+,chrX:73447054-73447072(+),chrX:73447036-73447127,CDX4_P1P2,TFPerturbSeq,CDX4,28,CDX4,28
121,121,chrX,73447039,73447057,.,+,chrX:73447039-73447057(+),chrX:73447036-73447127,CDX4_P1P2,TFPerturbSeq,CDX4,28,CDX4,28
122,122,chrX,73447089,73447107,.,-,chrX:73447089-73447107(-),chrX:73447036-73447127,CDX4_P1P2,TFPerturbSeq,CDX4,28,CDX4,28
123,123,chrX,73447049,73447067,.,-,chrX:73447049-73447067(-),chrX:73447036-73447127,CDX4_P1P2,TFPerturbSeq,CDX4,28,CDX4,28
124,124,chrX,73447109,73447127,.,+,chrX:73447109-73447127(+),chrX:73447036-73447127,CDX4_P1P2,TFPerturbSeq,CDX4,28,CDX4,28
125,125,chrX,73447036,73447054,.,+,chrX:73447036-73447054(+),chrX:73447036-73447127,CDX4_P1P2,TFPerturbSeq,CDX4,28,CDX4,28
126,126,chr19,33373314,33373332,.,+,chr19:33373314-33373332(+),chr19:33373314-33374166,CEBPG_P1P2,TFPerturbSeq,CEBPG,31,CEBPG,31
127,127,chr19,33373721,33373739,.,+,chr19:33373721-33373739(+),chr19:33373314-33374166,CEBPG_P1P2,TFPerturbSeq,CEBPG,31,CEBPG,31
128,128,chr19,33373773,33373791,.,-,chr19:33373773-33373791(-),chr19:33373314-33374166,CEBPG_P1P2,TFPerturbSeq,CEBPG,31,CEBPG,31
129,129,chr19,33374148,33374166,.,-,chr19:33374148-33374166(-),chr19:33373314-33374166,CEBPG_P1P2,TFPerturbSeq,CEBPG,31,CEBPG,31
130,130,chr19,33373912,33373930,.,+,chr19:33373912-33373930(+),chr19:33373314-33374166,CEBPG_P1P2,TFPerturbSeq,CEBPG,31,CEBPG,31
131,131,chr19,33373840,33373858,.,+,chr19:33373840-33373858(+),chr19:33373314-33374166,CEBPG_P1P2,TFPerturbSeq,CEBPG,31,CEBPG,31
132,132,chr19,18896072,18896090,.,-,chr19:18896072-18896090(-),chr19:18895883-18896132,CERS1_P1P2,OpenTargets,GDF1,151,GDF1,151
133,133,chr19,18896098,18896116,.,-,chr19:18896098-18896116(-),chr19:18895883-18896132,CERS1_P1P2,OpenTargets,GDF1,151,GDF1,151
134,134,chr19,18896092,18896110,.,-,chr19:18896092-18896110(-),chr19:18895883-18896132,CERS1_P1P2,OpenTargets,GDF1,151,GDF1,151
135,135,chr19,18895883,18895901,.,+,chr19:18895883-18895901(+),chr19:18895883-18896132,CERS1_P1P2,OpenTargets,GDF1,151,GDF1,151
136,136,chr19,18896114,18896132,.,-,chr19:18896114-18896132(-),chr19:18895883-18896132,CERS1_P1P2,OpenTargets,GDF1,151,GDF1,151
137,137,chr19,18896106,18896124,.,+,chr19:18896106-18896124(+),chr19:18895883-18896132,CERS1_P1P2,OpenTargets,GDF1,151,GDF1,151
138,138,chr13,114314348,114314366,.,-,chr13:114314348-114314366(-),chr13:114314348-114314719,CHAMP1_P1P2,TFPerturbSeq,CHAMP1,30,CHAMP1,30
139,139,chr13,114314599,114314617,.,-,chr13:114314599-114314617(-),chr13:114314348-114314719,CHAMP1_P1P2,TFPerturbSeq,CHAMP1,30,CHAMP1,30
140,140,chr13,114314532,114314550,.,-,chr13:114314532-114314550(-),chr13:114314348-114314719,CHAMP1_P1P2,TFPerturbSeq,CHAMP1,30,CHAMP1,30
141,141,chr13,114314498,114314516,.,+,chr13:114314498-114314516(+),chr13:114314348-114314719,CHAMP1_P1P2,TFPerturbSeq,CHAMP1,30,CHAMP1,30
142,142,chr13,114314526,114314544,.,+,chr13:114314526-114314544(+),chr13:114314348-114314719,CHAMP1_P1P2,TFPerturbSeq,CHAMP1,30,CHAMP1,30
143,143,chr13,114314701,114314719,.,-,chr13:114314701-114314719(-),chr13:114314348-114314719,CHAMP1_P1P2,TFPerturbSeq,CHAMP1,30,CHAMP1,30
144,144,chr8,60678842,60678860,.,+,chr8:60678842-60678860(+),chr8:60678741-60679080,CHD7_P1P2,TFPerturbSeq,CHD7,170,CHD7,170
145,145,chr8,60679015,60679033,.,-,chr8:60679015-60679033(-),chr8:60678741-60679080,CHD7_P1P2,TFPerturbSeq,CHD7,170,CHD7,170
146,146,chr8,60679000,60679018,.,+,chr8:60679000-60679018(+),chr8:60678741-60679080,CHD7_P1P2,TFPerturbSeq,CHD7,170,CHD7,170
147,147,chr8,60678741,60678759,.,+,chr8:60678741-60678759(+),chr8:60678741-60679080,CHD7_P1P2,TFPerturbSeq,CHD7,170,CHD7,170
148,148,chr8,60679062,60679080,.,+,chr8:60679062-60679080(+),chr8:60678741-60679080,CHD7_P1P2,TFPerturbSeq,CHD7,170,CHD7,170
149,149,chr8,60679043,60679061,.,+,chr8:60679043-60679061(+),chr8:60678741-60679080,CHD7_P1P2,TFPerturbSeq,CHD7,170,CHD7,170
150,150,chr15,40470981,40470999,.,+,chr15:40470981-40470999(+),chr15:40470957-40471681,CHST14_P1P2,CHDgene.au,CHST14,335,CHST14,335
151,151,chr15,40470957,40470975,.,+,chr15:40470957-40470975(+),chr15:40470957-40471681,CHST14_P1P2,CHDgene.au,CHST14,335,CHST14,335
152,152,chr15,40471068,40471086,.,-,chr15:40471068-40471086(-),chr15:40470957-40471681,CHST14_P1P2,CHDgene.au,CHST14,335,CHST14,335
153,153,chr15,40471663,40471681,.,-,chr15:40471663-40471681(-),chr15:40470957-40471681,CHST14_P1P2,CHDgene.au,CHST14,335,CHST14,335
154,154,chr15,40471071,40471089,.,-,chr15:40471071-40471089(-),chr15:40470957-40471681,CHST14_P1P2,CHDgene.au,CHST14,335,CHST14,335
155,155,chr15,40471056,40471074,.,-,chr15:40471056-40471074(-),chr15:40470957-40471681,CHST14_P1P2,CHDgene.au,CHST14,335,CHST14,335
156,156,chr6,139374593,139374611,.,-,chr6:139374593-139374611(-),chr6:139373772-139374655,CITED2_P1P2,"OpenTargets,CHDgene.au",CITED2,0,CITED2,0
157,157,chr6,139374604,139374622,.,-,chr6:139374604-139374622(-),chr6:139373772-139374655,CITED2_P1P2,"OpenTargets,CHDgene.au",CITED2,0,CITED2,0
158,158,chr6,139374623,139374641,.,-,chr6:139374623-139374641(-),chr6:139373772-139374655,CITED2_P1P2,"OpenTargets,CHDgene.au",CITED2,0,CITED2,0
159,159,chr6,139374637,139374655,.,-,chr6:139374637-139374655(-),chr6:139373772-139374655,CITED2_P1P2,"OpenTargets,CHDgene.au",CITED2,0,CITED2,0
160,160,chr6,139374606,139374624,.,+,chr6:139374606-139374624(+),chr6:139373772-139374655,CITED2_P1P2,"OpenTargets,CHDgene.au",CITED2,0,CITED2,0
161,161,chr6,139373772,139373790,.,-,chr6:139373772-139373790(-),chr6:139373772-139374655,CITED2_P1P2,"OpenTargets,CHDgene.au",CITED2,0,CITED2,0
162,162,chr3,129183655,129183673,.,+,chr3:129183655-129183673(+),chr3:129183655-129183900,CNBP_P1P2,TFPerturbSeq,CNBP,119,CNBP,119
163,163,chr3,129183680,129183698,.,-,chr3:129183680-129183698(-),chr3:129183655-129183900,CNBP_P1P2,TFPerturbSeq,CNBP,119,CNBP,119
164,164,chr3,129183829,129183847,.,+,chr3:129183829-129183847(+),chr3:129183655-129183900,CNBP_P1P2,TFPerturbSeq,CNBP,119,CNBP,119
165,165,chr3,129183882,129183900,.,-,chr3:129183882-129183900(-),chr3:129183655-129183900,CNBP_P1P2,TFPerturbSeq,CNBP,119,CNBP,119
166,166,chr3,129183871,129183889,.,-,chr3:129183871-129183889(-),chr3:129183655-129183900,CNBP_P1P2,TFPerturbSeq,CNBP,119,CNBP,119
167,167,chr3,129183703,129183721,.,-,chr3:129183703-129183721(-),chr3:129183655-129183900,CNBP_P1P2,TFPerturbSeq,CNBP,119,CNBP,119
