,pval_outlier,target_region,target_name
chr15:83284643-83284661(-),0.988,chr15:83284408-83284667,BNC1_P1P2
chr15:83284649-83284667(+),0.9686,chr15:83284408-83284667,BNC1_P1P2
chr17:67825489-67825507(-),0.9686,chr17:67825489-67825611,BPTF_P1P2
chr17:67825499-67825517(+),0.9283,chr17:67825489-67825611,BPTF_P1P2
chr17:67825531-67825549(+),0.9997,chr17:67825489-67825611,BPTF_P1P2
chr17:67825536-67825554(+),0.8558,chr17:67825489-67825611,BPTF_P1P2
chr17:67825593-67825611(-),0.9283,chr17:67825489-67825611,BPTF_P1P2
chr7:140924700-140924718(+),0.988,chr7:140924700-140924923,BRAF_P1P2
chr7:140924858-140924876(+),0.9686,chr7:140924700-140924923,BRAF_P1P2
chr7:140924873-140924891(-),0.9686,chr7:140924700-140924923,BRAF_P1P2
chr7:140924876-140924894(-),0.988,chr7:140924700-140924923,BRAF_P1P2
chr7:140924897-140924915(+),0.9686,chr7:140924700-140924923,BRAF_P1P2
chr14:90397015-90397033(+),0.988,chr14:90397015-90397457,CALM1_P1P2
chr14:90397032-90397050(+),1.0,chr14:90397015-90397457,CALM1_P1P2
chr14:90397060-90397078(-),0.9999,chr14:90397015-90397457,CALM1_P1P2
chr14:90397065-90397083(-),0.9997,chr14:90397015-90397457,CALM1_P1P2
chr14:90397227-90397245(+),0.5963,chr14:90397015-90397457,CALM1_P1P2
chr14:90397439-90397457(-),0.2735,chr14:90397015-90397457,CALM1_P1P2
chr2:47176133-47176151(-),0.5197,chr2:47176133-47176899,CALM2_P1P2
chr2:47176187-47176205(-),0.7886,chr2:47176133-47176899,CALM2_P1P2
chr2:47176504-47176522(-),0.9366,chr2:47176133-47176899,CALM2_P1P2
chr2:47176881-47176899(-),0.9985,chr2:47176133-47176899,CALM2_P1P2
chr19:46601272-46601290(+),0.5963,chr19:46601272-46601540,CALM3_ENST00000291295.9
chr19:46601277-46601295(-),1.0,chr19:46601272-46601540,CALM3_ENST00000291295.9
chr19:46601472-46601490(+),0.9988,chr19:46601272-46601540,CALM3_ENST00000291295.9
chr19:46601502-46601520(-),0.5963,chr19:46601272-46601540,CALM3_ENST00000291295.9
chr19:46601522-46601540(-),0.9283,chr19:46601272-46601540,CALM3_ENST00000291295.9
chr17:4987260-4987278(+),0.5197,chr17:4987228-4987616,CAMTA2_P1P2
chr17:4987413-4987431(-),0.9875,chr17:4987228-4987616,CAMTA2_P1P2
chr17:4987583-4987601(-),0.9875,chr17:4987228-4987616,CAMTA2_P1P2
chr17:4987598-4987616(-),0.7886,chr17:4987228-4987616,CAMTA2_P1P2
chr13:27968887-27968905(+),0.9686,chr13:27968887-27969277,CDX2_P1P2
chr13:27969143-27969161(-),0.988,chr13:27968887-27969277,CDX2_P1P2
chr13:27969235-27969253(+),0.988,chr13:27968887-27969277,CDX2_P1P2
chr13:27969240-27969258(+),0.9283,chr13:27968887-27969277,CDX2_P1P2
chr13:27969259-27969277(+),0.9686,chr13:27968887-27969277,CDX2_P1P2
chrX:73447036-73447054(+),0.744,chrX:73447036-73447127,CDX4_P1P2
chrX:73447039-73447057(+),0.9999,chrX:73447036-73447127,CDX4_P1P2
chrX:73447049-73447067(-),0.744,chrX:73447036-73447127,CDX4_P1P2
chrX:73447054-73447072(+),0.149,chrX:73447036-73447127,CDX4_P1P2
chrX:73447089-73447107(-),0.9999,chrX:73447036-73447127,CDX4_P1P2
chrX:73447109-73447127(+),0.5963,chrX:73447036-73447127,CDX4_P1P2
chr19:33373773-33373791(-),0.57,chr19:33373314-33374166,CEBPG_P1P2
chr19:33373912-33373930(+),0.95,chr19:33373314-33374166,CEBPG_P1P2
chr19:18895883-18895901(+),0.9283,chr19:18895883-18896132,CERS1_P1P2
chr19:18896072-18896090(-),0.9686,chr19:18895883-18896132,CERS1_P1P2
chr19:18896098-18896116(-),0.744,chr19:18895883-18896132,CERS1_P1P2
chr19:18896106-18896124(+),0.5963,chr19:18895883-18896132,CERS1_P1P2
chr19:18896114-18896132(-),0.9999,chr19:18895883-18896132,CERS1_P1P2
chr13:114314348-114314366(-),0.9686,chr13:114314348-114314719,CHAMP1_P1P2
chr13:114314498-114314516(+),0.5963,chr13:114314348-114314719,CHAMP1_P1P2
chr13:114314526-114314544(+),0.8558,chr13:114314348-114314719,CHAMP1_P1P2
chr13:114314532-114314550(-),0.9283,chr13:114314348-114314719,CHAMP1_P1P2
chr13:114314599-114314617(-),1.0,chr13:114314348-114314719,CHAMP1_P1P2
chr8:60678741-60678759(+),0.9686,chr8:60678741-60679080,CHD7_P1P2
chr8:60678842-60678860(+),0.996,chr8:60678741-60679080,CHD7_P1P2
chr8:60679000-60679018(+),0.996,chr8:60678741-60679080,CHD7_P1P2
chr8:60679015-60679033(-),0.0678,chr8:60678741-60679080,CHD7_P1P2
chr8:60679062-60679080(+),0.9988,chr8:60678741-60679080,CHD7_P1P2
chr15:40470957-40470975(+),0.9366,chr15:40470957-40471681,CHST14_P1P2
chr15:40470981-40470999(+),0.7886,chr15:40470957-40471681,CHST14_P1P2
chr15:40471071-40471089(-),0.5197,chr15:40470957-40471681,CHST14_P1P2
chr15:40471663-40471681(-),0.9985,chr15:40470957-40471681,CHST14_P1P2
chr6:139373772-139373790(-),0.988,chr6:139373772-139374655,CITED2_P1P2
chr6:139374593-139374611(-),0.9686,chr6:139373772-139374655,CITED2_P1P2
chr6:139374604-139374622(-),0.9686,chr6:139373772-139374655,CITED2_P1P2
chr6:139374623-139374641(-),0.9686,chr6:139373772-139374655,CITED2_P1P2
chr6:139374637-139374655(-),0.9686,chr6:139373772-139374655,CITED2_P1P2
chr3:129183655-129183673(+),0.9985,chr3:129183655-129183900,CNBP_P1P2
chr3:129183829-129183847(+),0.9366,chr3:129183655-129183900,CNBP_P1P2
chr3:129183871-129183889(-),0.7886,chr3:129183655-129183900,CNBP_P1P2
chr3:129183882-129183900(-),0.7886,chr3:129183655-129183900,CNBP_P1P2
chr16:3880184-3880202(-),0.988,chr16:3880184-3880693,CREBBP_P1P2
chr16:3880190-3880208(+),0.9686,chr16:3880184-3880693,CREBBP_P1P2
chr16:3880650-3880668(-),0.9686,chr16:3880184-3880693,CREBBP_P1P2
chr16:3880656-3880674(+),0.988,chr16:3880184-3880693,CREBBP_P1P2
chr16:3880675-3880693(+),0.9686,chr16:3880184-3880693,CREBBP_P1P2
chr3:9933837-9933855(+),1.0,chr3:9933837-9934125,CRELD1_P1P2
chr3:9933843-9933861(+),1.0,chr3:9933837-9934125,CRELD1_P1P2
chr3:9933903-9933921(-),1.0,chr3:9933837-9934125,CRELD1_P1P2
chr3:9933915-9933933(-),1.0,chr3:9933837-9934125,CRELD1_P1P2
chr3:9934049-9934067(-),1.0,chr3:9933837-9934125,CRELD1_P1P2
chr3:9934107-9934125(-),1.0,chr3:9933837-9934125,CRELD1_P1P2
chr12:45050940-45050958(-),0.9686,chr12:45050884-45051090,DBX2_P1P2
chr12:45051027-45051045(-),0.8558,chr12:45050884-45051090,DBX2_P1P2
chr12:45051055-45051073(+),0.149,chr12:45050884-45051090,DBX2_P1P2
chr12:45051063-45051081(+),0.9686,chr12:45050884-45051090,DBX2_P1P2
chr12:45051072-45051090(-),1.0,chr12:45050884-45051090,DBX2_P1P2
chr5:80654724-80654742(-),0.988,chr5:80654649-80654977,DHFR_P1P2
chr5:80654729-80654747(-),0.9686,chr5:80654649-80654977,DHFR_P1P2
chr5:80654948-80654966(+),0.9686,chr5:80654649-80654977,DHFR_P1P2
chr5:80654956-80654974(-),0.9686,chr5:80654649-80654977,DHFR_P1P2
chr5:80654959-80654977(-),0.9686,chr5:80654649-80654977,DHFR_P1P2
chr15:40929326-40929344(+),0.9686,chr15:40929326-40929558,DLL4_P1P2
chr15:40929353-40929371(+),1.0,chr15:40929326-40929558,DLL4_P1P2
chr15:40929396-40929414(+),0.9686,chr15:40929326-40929558,DLL4_P1P2
chr15:40929400-40929418(-),0.744,chr15:40929326-40929558,DLL4_P1P2
chr15:40929540-40929558(+),0.988,chr15:40929326-40929558,DLL4_P1P2
chr7:21543037-21543055(+),0.8558,chr7:21543037-21543270,DNAH11_P1P2
chr7:21543046-21543064(+),0.9988,chr7:21543037-21543270,DNAH11_P1P2
chr7:21543050-21543068(-),0.5963,chr7:21543037-21543270,DNAH11_P1P2
chr7:21543065-21543083(+),1.0,chr7:21543037-21543270,DNAH11_P1P2
chr7:21543092-21543110(+),0.744,chr7:21543037-21543270,DNAH11_P1P2
chr7:21543252-21543270(+),0.9988,chr7:21543037-21543270,DNAH11_P1P2
chr5:13944412-13944430(-),1.0,chr5:13944412-13944684,DNAH5_ENST00000265104.4
chr5:13944461-13944479(+),1.0,chr5:13944412-13944684,DNAH5_ENST00000265104.4
chr5:13944616-13944634(-),1.0,chr5:13944412-13944684,DNAH5_ENST00000265104.4
chr5:13944625-13944643(-),1.0,chr5:13944412-13944684,DNAH5_ENST00000265104.4
chr5:13944635-13944653(+),1.0,chr5:13944412-13944684,DNAH5_ENST00000265104.4
chr5:13944666-13944684(-),1.0,chr5:13944412-13944684,DNAH5_ENST00000265104.4
chr10:22003461-22003479(-),0.9283,chr10:22003461-22003710,DNAJC1_P1P2
chr10:22003601-22003619(+),0.4306,chr10:22003461-22003710,DNAJC1_P1P2
chr10:22003604-22003622(+),0.9283,chr10:22003461-22003710,DNAJC1_P1P2
chr10:22003679-22003697(-),1.0,chr10:22003461-22003710,DNAJC1_P1P2
chr10:22003692-22003710(+),0.9988,chr10:22003461-22003710,DNAJC1_P1P2
chr19:11262010-11262028(-),0.988,chr19:11262010-11262516,DOCK6_P1P2
chr19:11262060-11262078(+),0.9686,chr19:11262010-11262516,DOCK6_P1P2
chr19:11262344-11262362(+),0.988,chr19:11262010-11262516,DOCK6_P1P2
chr19:11262440-11262458(-),0.988,chr19:11262010-11262516,DOCK6_P1P2
chr19:11262498-11262516(-),0.9686,chr19:11262010-11262516,DOCK6_P1P2
chr11:65333834-65333852(+),1.0,chr11:65333834-65334289,DPF2_P1
chr11:65334029-65334047(+),1.0,chr11:65333834-65334289,DPF2_P1
chr11:65334094-65334112(+),1.0,chr11:65333834-65334289,DPF2_P1
chr11:65334228-65334246(-),1.0,chr11:65333834-65334289,DPF2_P1
chr11:65334271-65334289(+),1.0,chr11:65333834-65334289,DPF2_P1
chr11:65341437-65341455(+),0.9997,chr11:65341437-65341722,DPF2_P2
chr11:65341539-65341557(-),0.9999,chr11:65341437-65341722,DPF2_P2
chr11:65341611-65341629(-),0.9997,chr11:65341437-65341722,DPF2_P2
chr11:65341677-65341695(-),0.8558,chr11:65341437-65341722,DPF2_P2
chr11:65341704-65341722(-),0.4306,chr11:65341437-65341722,DPF2_P2
chr18:34710243-34710261(+),0.9686,chr18:34710243-34710612,DTNA_P1P2
chr18:34710275-34710293(+),0.9686,chr18:34710243-34710612,DTNA_P1P2
chr18:34710330-34710348(+),0.988,chr18:34710243-34710612,DTNA_P1P2
chr18:34710544-34710562(-),0.988,chr18:34710243-34710612,DTNA_P1P2
chr18:34710594-34710612(-),0.9686,chr18:34710243-34710612,DTNA_P1P2
chr4:147481108-147481126(+),0.9686,chr4:147481108-147481187,EDNRA_P1P2
chr4:147481111-147481129(+),0.9686,chr4:147481108-147481187,EDNRA_P1P2
chr4:147481150-147481168(-),0.9686,chr4:147481108-147481187,EDNRA_P1P2
chr4:147481154-147481172(-),0.988,chr4:147481108-147481187,EDNRA_P1P2
chr4:147481169-147481187(-),0.9686,chr4:147481108-147481187,EDNRA_P1P2
chr13:77918543-77918561(+),0.9686,chr13:77918543-77918853,EDNRB_P1P2
chr13:77918546-77918564(+),0.9283,chr13:77918543-77918853,EDNRB_P1P2
chr13:77918757-77918775(-),0.9686,chr13:77918543-77918853,EDNRB_P1P2
chr13:77918771-77918789(+),0.996,chr13:77918543-77918853,EDNRB_P1P2
chr13:77918835-77918853(-),0.9997,chr13:77918543-77918853,EDNRB_P1P2
chr9:137619029-137619047(+),0.2735,chr9:137619029-137619516,EHMT1_P1P2
chr9:137619036-137619054(-),0.988,chr9:137619029-137619516,EHMT1_P1P2
chr9:137619039-137619057(-),0.996,chr9:137619029-137619516,EHMT1_P1P2
chr9:137619042-137619060(-),0.149,chr9:137619029-137619516,EHMT1_P1P2
chr9:137619201-137619219(-),0.9999,chr9:137619029-137619516,EHMT1_P1P2
chr9:137619498-137619516(-),0.9997,chr9:137619029-137619516,EHMT1_P1P2
chr14:73760063-73760081(-),0.8558,chr14:73760063-73760285,ELMSAN1_P1
chr14:73760154-73760172(+),0.8558,chr14:73760063-73760285,ELMSAN1_P1
chr14:73760157-73760175(+),0.988,chr14:73760063-73760285,ELMSAN1_P1
chr14:73760204-73760222(+),0.9988,chr14:73760063-73760285,ELMSAN1_P1
chr14:73760267-73760285(-),0.9686,chr14:73760063-73760285,ELMSAN1_P1
chr14:73786788-73786806(+),0.9875,chr14:73786788-73787138,ELMSAN1_P2
chr14:73786836-73786854(-),0.7886,chr14:73786788-73787138,ELMSAN1_P2
chr14:73786947-73786965(-),0.9366,chr14:73786788-73787138,ELMSAN1_P2
chr14:73787113-73787131(+),0.2239,chr14:73786788-73787138,ELMSAN1_P2
chr9:127854438-127854456(+),0.988,chr9:127854438-127854661,ENG_P1P2
chr9:127854559-127854577(+),0.9686,chr9:127854438-127854661,ENG_P1P2
chr9:127854601-127854619(-),0.9686,chr9:127854438-127854661,ENG_P1P2
chr9:127854634-127854652(+),0.9686,chr9:127854438-127854661,ENG_P1P2
chr9:127854643-127854661(+),0.9686,chr9:127854438-127854661,ENG_P1P2
chr3:27721839-27721857(-),0.9686,chr3:27721831-27722349,EOMES_P1P2
chr3:27721869-27721887(-),0.9686,chr3:27721831-27722349,EOMES_P1P2
chr3:27721889-27721907(-),0.988,chr3:27721831-27722349,EOMES_P1P2
chr3:27722213-27722231(+),0.988,chr3:27721831-27722349,EOMES_P1P2
chr3:27722331-27722349(-),0.9686,chr3:27721831-27722349,EOMES_P1P2
chr22:41091729-41091747(-),0.8558,chr22:41091729-41092903,EP300_P1P2
chr22:41091732-41091750(+),0.988,chr22:41091729-41092903,EP300_P1P2
chr22:41091738-41091756(+),0.988,chr22:41091729-41092903,EP300_P1P2
chr22:41091822-41091840(+),0.9686,chr22:41091729-41092903,EP300_P1P2
chr22:41092885-41092903(-),0.988,chr22:41091729-41092903,EP300_P1P2
chr4:5708465-5708483(+),1.0,chr4:5708465-5708574,EVC2_P1P2
chr4:5708503-5708521(-),0.744,chr4:5708465-5708574,EVC2_P1P2
chr4:5708513-5708531(-),0.149,chr4:5708465-5708574,EVC2_P1P2
chr4:5708519-5708537(-),0.9999,chr4:5708465-5708574,EVC2_P1P2
chr4:5708522-5708540(+),0.744,chr4:5708465-5708574,EVC2_P1P2
chr4:5708556-5708574(-),0.2735,chr4:5708465-5708574,EVC2_P1P2
chr4:5711198-5711216(+),0.9875,chr4:5711198-5711575,EVC_P1P2
chr4:5711203-5711221(+),0.9366,chr4:5711198-5711575,EVC_P1P2
chr4:5711249-5711267(+),0.9366,chr4:5711198-5711575,EVC_P1P2
chr15:48645585-48645603(+),0.9686,chr15:48645585-48645720,FBN1_P1P2
chr15:48645635-48645653(-),0.9686,chr15:48645585-48645720,FBN1_P1P2
chr15:48645684-48645702(-),0.9686,chr15:48645585-48645720,FBN1_P1P2
chr15:48645689-48645707(-),0.988,chr15:48645585-48645720,FBN1_P1P2
chr15:48645702-48645720(-),0.9686,chr15:48645585-48645720,FBN1_P1P2
chr12:132490176-132490194(+),0.988,chr12:132490176-132490383,FBRSL1_P1P2
chr12:132490181-132490199(-),0.9686,chr12:132490176-132490383,FBRSL1_P1P2
chr12:132490184-132490202(-),0.9686,chr12:132490176-132490383,FBRSL1_P1P2
chr12:132490296-132490314(-),0.9283,chr12:132490176-132490383,FBRSL1_P1P2
chr12:132490365-132490383(-),0.988,chr12:132490176-132490383,FBRSL1_P1P2
chr10:101776010-101776028(+),0.9686,chr10:101776010-101776120,FGF8_P1P2
chr10:101776070-101776088(-),0.9686,chr10:101776010-101776120,FGF8_P1P2
chr10:101776075-101776093(-),0.988,chr10:101776010-101776120,FGF8_P1P2
chr10:101776096-101776114(-),0.9686,chr10:101776010-101776120,FGF8_P1P2
chr10:101776102-101776120(-),0.988,chr10:101776010-101776120,FGF8_P1P2
chr10:121598105-121598123(-),0.4306,chr10:121598105-121598384,FGFR2_P1P2
chr10:121598139-121598157(+),0.996,chr10:121598105-121598384,FGFR2_P1P2
chr10:121598339-121598357(+),0.988,chr10:121598105-121598384,FGFR2_P1P2
chr10:121598358-121598376(+),0.9997,chr10:121598105-121598384,FGFR2_P1P2
chr10:121598366-121598384(-),0.9988,chr10:121598105-121598384,FGFR2_P1P2
chr5:180649511-180649529(+),0.9997,chr5:180649501-180649576,FLT4_P1P2
chr5:180649540-180649558(-),0.988,chr5:180649501-180649576,FLT4_P1P2
chr5:180649544-180649562(+),0.988,chr5:180649501-180649576,FLT4_P1P2
chr5:180649555-180649573(-),0.0678,chr5:180649501-180649576,FLT4_P1P2
chr5:180649558-180649576(+),0.988,chr5:180649501-180649576,FLT4_P1P2
chr6:1610046-1610064(+),0.9686,chr6:1610046-1610654,FOXC1_P1P2
chr6:1610086-1610104(+),0.149,chr6:1610046-1610654,FOXC1_P1P2
chr6:1610142-1610160(-),0.988,chr6:1610046-1610654,FOXC1_P1P2
chr6:1610167-1610185(-),0.9999,chr6:1610046-1610654,FOXC1_P1P2
chr6:1610548-1610566(+),0.9686,chr6:1610046-1610654,FOXC1_P1P2
chr1:63322574-63322592(+),0.9686,chr1:63322574-63322815,FOXD3_P1
chr1:63322593-63322611(-),0.988,chr1:63322574-63322815,FOXD3_P1
chr1:63322628-63322646(-),0.9686,chr1:63322574-63322815,FOXD3_P1
chr1:63322654-63322672(-),0.9283,chr1:63322574-63322815,FOXD3_P1
chr1:63322797-63322815(+),0.988,chr1:63322574-63322815,FOXD3_P1
chr1:63323807-63323825(+),0.7886,chr1:63323785-63323898,FOXD3_P2
chr1:63323827-63323845(+),0.9366,chr1:63323785-63323898,FOXD3_P2
chr1:63323852-63323870(+),0.9985,chr1:63323785-63323898,FOXD3_P2
chr1:63323880-63323898(-),0.5197,chr1:63323785-63323898,FOXD3_P2
chr8:144475400-144475418(+),1.0,chr8:144475400-144475825,FOXH1_P1P2
chr8:144475428-144475446(-),1.0,chr8:144475400-144475825,FOXH1_P1P2
chr8:144475636-144475654(+),1.0,chr8:144475400-144475825,FOXH1_P1P2
chr8:144475757-144475775(+),1.0,chr8:144475400-144475825,FOXH1_P1P2
chr8:144475807-144475825(+),1.0,chr8:144475400-144475825,FOXH1_P1P2
chr11:118971752-118971770(+),0.9997,chr11:118971752-118972000,FOXR1_P1P2
chr11:118971880-118971898(-),0.149,chr11:118971752-118972000,FOXR1_P1P2
chr11:118971963-118971981(-),0.8558,chr11:118971752-118972000,FOXR1_P1P2
chr11:118971973-118971991(-),0.9686,chr11:118971752-118972000,FOXR1_P1P2
chr11:118971982-118972000(+),1.0,chr11:118971752-118972000,FOXR1_P1P2
chr5:161848188-161848206(+),0.996,chr5:161848188-161848421,GABRA1_P1P2
chr5:161848302-161848320(-),0.9283,chr5:161848188-161848421,GABRA1_P1P2
chr5:161848395-161848413(+),1.0,chr5:161848188-161848421,GABRA1_P1P2
chr5:161848403-161848421(-),0.9999,chr5:161848188-161848421,GABRA1_P1P2
chr4:46389879-46389897(+),0.9686,chr4:46389879-46389989,GABRA2_P1P2
chr4:46389914-46389932(-),0.9686,chr4:46389879-46389989,GABRA2_P1P2
chr4:46389937-46389955(+),0.988,chr4:46389879-46389989,GABRA2_P1P2
chr4:46389940-46389958(+),0.9686,chr4:46389879-46389989,GABRA2_P1P2
chr4:46389971-46389989(+),0.9686,chr4:46389879-46389989,GABRA2_P1P2
chrX:152451009-152451027(-),1.0,chrX:152450780-152451288,GABRA3_P1P2
chrX:152451056-152451074(+),1.0,chrX:152450780-152451288,GABRA3_P1P2
chrX:152451076-152451094(+),1.0,chrX:152450780-152451288,GABRA3_P1P2
chrX:152451214-152451232(-),1.0,chrX:152450780-152451288,GABRA3_P1P2
chrX:152451270-152451288(-),1.0,chrX:152450780-152451288,GABRA3_P1P2
chr4:46993165-46993183(-),0.9999,chr4:46993165-46993499,GABRA4_P1P2
chr4:46993255-46993273(+),0.9686,chr4:46993165-46993499,GABRA4_P1P2
chr4:46993348-46993366(+),0.9988,chr4:46993165-46993499,GABRA4_P1P2
chr4:46993366-46993384(+),0.996,chr4:46993165-46993499,GABRA4_P1P2
chr15:26867091-26867109(+),0.95,chr15:26867091-26867492,GABRA5_P1P2
chr15:26867288-26867306(-),0.57,chr15:26867091-26867492,GABRA5_P1P2
chr5:161685694-161685712(-),0.4306,chr5:161685694-161685957,GABRA6_P1P2
chr5:161685715-161685733(+),0.8558,chr5:161685694-161685957,GABRA6_P1P2
chr5:161685771-161685789(-),0.9686,chr5:161685694-161685957,GABRA6_P1P2
chr5:161685925-161685943(+),1.0,chr5:161685694-161685957,GABRA6_P1P2
chr5:161685939-161685957(+),0.9686,chr5:161685694-161685957,GABRA6_P1P2
chr4:47031552-47031570(+),0.996,chr4:47031552-47032003,GABRB1_P1P2
chr4:47031568-47031586(-),1.0,chr4:47031552-47032003,GABRB1_P1P2
chr4:47031593-47031611(-),0.9686,chr4:47031552-47032003,GABRB1_P1P2
chr4:47031609-47031627(-),1.0,chr4:47031552-47032003,GABRB1_P1P2
chr4:47031985-47032003(+),0.8558,chr4:47031552-47032003,GABRB1_P1P2
chr5:161546430-161546448(+),1.0,chr5:161546430-161546726,GABRB2_P1P2
chr5:161546564-161546582(+),1.0,chr5:161546430-161546726,GABRB2_P1P2
chr5:161546578-161546596(+),1.0,chr5:161546430-161546726,GABRB2_P1P2
chr5:161546649-161546667(+),1.0,chr5:161546430-161546726,GABRB2_P1P2
chr5:161546694-161546712(-),1.0,chr5:161546430-161546726,GABRB2_P1P2
chr5:161546708-161546726(+),1.0,chr5:161546430-161546726,GABRB2_P1P2
chr15:26772637-26772655(-),0.4306,chr15:26772637-26773036,GABRB3_P1P2
chr15:26772868-26772886(+),0.9686,chr15:26772637-26773036,GABRB3_P1P2
chr15:26772880-26772898(-),0.2735,chr15:26772637-26773036,GABRB3_P1P2
chr15:26773002-26773020(-),0.9997,chr15:26772637-26773036,GABRB3_P1P2
chr15:26773005-26773023(+),1.0,chr15:26772637-26773036,GABRB3_P1P2
chr15:26773018-26773036(-),0.2735,chr15:26772637-26773036,GABRB3_P1P2
