,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,pval_mean,pval_std,distance_mean,distance_std,pval_mean_log,distance_mean_log,region_name,source,is_enhancer
OR13C9,1.7322998046875,0.343,1.45263671875,0.484,1.450927734375,0.523,1.1077880859375,0.738,1.2852783203125,0.624,1.944091796875,0.255,1.249755859375,0.621,1.7462158203125,0.289,1.096435546875,0.754,2.5765380859375,0.084,1.7100830078125,0.343,1.31201171875,0.598,2.882080078125,0.051,0.9351806640625,0.879,2.2347412109375,0.174,1.19677734375,0.723,1.1953125,0.702,1.28125,0.606,1.2177734375,0.651,1.3826904296875,0.535,0.49885,0.23683800259604496,1.549493408203125,0.5143389893582406,0.30202131761968104,0.19018973301989817,OR13C9,Control,False
OR13G1,2.7305908203125,0.085,3.081787109375,0.051,3.2884521484375,0.032,2.551513671875,0.103,2.7176513671875,0.077,3.283447265625,0.03,2.9180908203125,0.044,3.82861328125,0.009,2.9954833984375,0.037,4.4403076171875,0.004,3.3282470703125,0.028,3.0697021484375,0.026,5.493408203125,0.001,2.3348388671875,0.138,4.96826171875,0.006,3.0826416015625,0.053,2.6339111328125,0.097,2.470947265625,0.087,2.55419921875,0.093,2.07275390625,0.223,0.06120000000000001,0.05404053059850931,3.192242431640625,0.8789289025627776,1.2131776205008125,0.5040958659887526,OR13G1,Control,False
OR14J1,1.3453369140625,0.741,1.2535400390625,0.784,2.7344970703125,0.135,1.265380859375,0.814,1.4488525390625,0.684,1.9007568359375,0.409,1.928955078125,0.371,2.1851806640625,0.271,1.5670166015625,0.544,1.880615234375,0.405,2.0914306640625,0.263,1.0640869140625,0.893,2.9661865234375,0.083,1.3143310546875,0.75,3.1695556640625,0.077,2.2069091796875,0.258,1.8353271484375,0.415,0.872314453125,0.963,1.0115966796875,0.938,1.550537109375,0.595,0.5196500000000001,0.28946216460332447,1.779620361328125,0.6417347367420783,0.2842807110159734,0.2503273660363697,OR14J1,Control,False
OR1J4,2.400390625,0.101,1.6826171875,0.306,2.9405517578125,0.048,1.6923828125,0.333,1.8743896484375,0.22,2.9398193359375,0.025,1.8134765625,0.245,2.59033203125,0.069,1.25439453125,0.59,2.267822265625,0.114,2.203369140625,0.103,1.174560546875,0.654,2.7412109375,0.056,1.5418701171875,0.396,3.23681640625,0.019,2.3388671875,0.108,2.071533203125,0.17,1.2125244140625,0.656,2.315185546875,0.104,2.770263671875,0.051,0.2184,0.2078613910632199,2.153118896484375,0.6124065826727527,0.6607274811440601,0.3330680124808806,OR1J4,Control,False
OR1L8,1.5499267578125,0.425,1.44189453125,0.473,2.4510498046875,0.093,1.9156494140625,0.234,1.762939453125,0.29,1.7286376953125,0.291,1.51220703125,0.429,2.17626953125,0.15,1.6861572265625,0.325,1.7783203125,0.292,2.21142578125,0.124,1.162109375,0.691,2.2144775390625,0.133,1.40966796875,0.478,2.788818359375,0.054,2.08349609375,0.179,1.9376220703125,0.209,1.0810546875,0.732,1.5325927734375,0.36,2.1046142578125,0.139,0.30505000000000004,0.18852236360428798,1.826446533203125,0.43023280148636184,0.5156147340755063,0.26160696333976863,OR1L8,Control,False
OR1M1,2.0133056640625,0.196,1.20263671875,0.665,2.38818359375,0.105,2.36572265625,0.1,1.121826171875,0.718,2.0264892578125,0.189,1.45703125,0.458,1.697265625,0.301,1.7369384765625,0.292,1.3131103515625,0.609,2.1090087890625,0.13,1.3299560546875,0.577,1.3919677734375,0.5,1.800537109375,0.267,2.584716796875,0.075,1.798095703125,0.289,1.98974609375,0.214,1.4498291015625,0.462,1.861572265625,0.265,2.445068359375,0.099,0.32555,0.2038181529542553,1.804150390625,0.43683473012960006,0.487368960190779,0.2562727366960962,OR1M1,Control,False
OR1N2,1.9556884765625,0.288,2.4383544921875,0.127,1.8411865234375,0.337,1.8033447265625,0.371,1.916259765625,0.306,2.0460205078125,0.231,1.9434814453125,0.281,2.326904296875,0.169,2.4000244140625,0.116,3.0745849609375,0.057,1.8245849609375,0.328,2.3648681640625,0.123,3.74853515625,0.022,1.9439697265625,0.277,3.0281982421875,0.059,1.910400390625,0.294,1.4527587890625,0.547,2.2777099609375,0.171,1.3865966796875,0.616,1.3897705078125,0.632,0.26759999999999995,0.17569183547516254,2.153662109375,0.5909220585569006,0.5724976619667151,0.33317756732559045,OR1N2,Control,False
OR2A1,3.3583984375,0.032,3.7645263671875,0.015,5.3304443359375,0.0,2.7742919921875,0.049,4.1029052734375,0.01,4.5867919921875,0.004,4.0552978515625,0.01,5.1348876953125,0.001,3.24853515625,0.022,4.8997802734375,0.003,4.4774169921875,0.006,3.308349609375,0.026,6.5054931640625,0.0,2.91552734375,0.053,6.3907470703125,0.0,4.6552734375,0.002,4.027587890625,0.017,2.3350830078125,0.158,3.281494140625,0.022,3.1968994140625,0.037,0.023350000000000003,0.035604959737299754,4.117486572265625,1.140696852988279,1.631527161559638,0.6146321915453857,OR2A1,Control,False
OR2A2,1.3360595703125,0.703,1.4683837890625,0.628,2.1279296875,0.216,1.23583984375,0.754,1.494140625,0.59,1.842041015625,0.411,1.3331298828125,0.71,1.9271240234375,0.33,1.2869873046875,0.756,2.2850341796875,0.219,1.485595703125,0.614,1.281005859375,0.722,2.81982421875,0.092,0.9090576171875,0.932,2.8021240234375,0.103,1.6646728515625,0.519,1.2015380859375,0.796,1.4735107421875,0.602,1.2237548828125,0.758,1.274658203125,0.743,0.5599,0.24724735111134952,1.62362060546875,0.5258627831232326,0.2518817759305632,0.21048455433814617,OR2A2,Control,False
OR2AE1,1.392822265625,0.528,0.9971923828125,0.816,1.9747314453125,0.215,1.757568359375,0.307,1.0616455078125,0.785,1.7445068359375,0.28,1.0155029296875,0.837,1.8370361328125,0.263,1.2900390625,0.556,1.593017578125,0.385,1.896728515625,0.209,0.9783935546875,0.835,2.17041015625,0.139,1.4454345703125,0.479,2.57373046875,0.08,1.3138427734375,0.578,1.6878662109375,0.304,0.9271240234375,0.869,1.7017822265625,0.325,1.7650146484375,0.278,0.45339999999999997,0.25711402344608036,1.556219482421875,0.4406742009296056,0.34350890569841486,0.19207084797669052,OR2AE1,Control,False
OR2B2,1.3717041015625,0.645,1.3017578125,0.671,1.1326904296875,0.81,1.699951171875,0.407,1.0426025390625,0.865,1.0977783203125,0.849,1.492431640625,0.518,1.38916015625,0.617,1.7750244140625,0.36,1.7686767578125,0.378,1.3448486328125,0.64,1.4703369140625,0.583,2.5234375,0.128,1.3905029296875,0.602,1.6114501953125,0.482,1.2869873046875,0.716,1.034912109375,0.865,1.765380859375,0.368,1.2664794921875,0.697,0.99169921875,0.895,0.6047999999999999,0.20604256075409583,1.437890625,0.35736350240302317,0.21838103677120935,0.15772585213481713,OR2B2,Control,False
OR2B3,1.4046630859375,0.567,1.1304931640625,0.783,1.8006591796875,0.31,2.0445556640625,0.197,1.343505859375,0.604,1.5782470703125,0.413,1.707275390625,0.336,1.595947265625,0.405,1.9306640625,0.231,1.404296875,0.531,1.821533203125,0.291,1.21728515625,0.689,2.0703125,0.189,1.795166015625,0.298,1.8585205078125,0.269,1.66357421875,0.393,1.74560546875,0.306,1.4381103515625,0.502,1.7884521484375,0.297,2.0203857421875,0.221,0.3916,0.16913569762331757,1.667962646484375,0.2728877987692937,0.4071462267530451,0.22218632051792953,OR2B3,Control,False
OR2C3,1.9283447265625,0.31,1.154541015625,0.786,2.6788330078125,0.093,2.733154296875,0.082,1.4840087890625,0.577,1.75,0.41,1.4307861328125,0.604,1.994140625,0.302,1.8956298828125,0.324,1.0780029296875,0.863,1.5015869140625,0.521,1.576416015625,0.476,1.69970703125,0.405,2.6826171875,0.102,2.42431640625,0.144,1.6497802734375,0.434,1.865234375,0.333,2.3905029296875,0.129,2.2926025390625,0.16,2.8636474609375,0.074,0.35645000000000004,0.23340443215022377,1.953692626953125,0.5369490641041974,0.44798919723966935,0.2908562375206415,OR2C3,Control,False
OR2F2,3.1666259765625,0.036,3.896728515625,0.005,4.158447265625,0.012,1.893310546875,0.278,3.2666015625,0.029,4.0465087890625,0.011,3.6109619140625,0.022,3.78759765625,0.019,2.5584716796875,0.07,4.7896728515625,0.003,4.7618408203125,0.001,2.9346923828125,0.059,6.3223876953125,0.001,2.193359375,0.165,4.8502197265625,0.007,3.9766845703125,0.01,3.8465576171875,0.013,1.4317626953125,0.561,2.836669921875,0.061,2.620361328125,0.08,0.07215000000000002,0.13322330877140082,3.54747314453125,1.1581101220818109,1.1417034754661146,0.5499191163984238,OR2F2,Control,False
OR2H1,2.188720703125,0.159,2.68505859375,0.053,3.3355712890625,0.023,1.5035400390625,0.413,2.575927734375,0.075,3.0731201171875,0.038,2.6392822265625,0.056,3.0906982421875,0.026,1.7218017578125,0.281,3.714599609375,0.012,3.2291259765625,0.029,2.075439453125,0.15,4.9766845703125,0.002,1.662353515625,0.318,4.1243896484375,0.005,2.878662109375,0.049,2.825439453125,0.053,1.25,0.616,2.27099609375,0.107,2.1727294921875,0.135,0.12999999999999998,0.1605923246510932,2.69970703125,0.9166723711081183,0.8860232417101536,0.4313166376349431,OR2H1,Control,False
OR2H2,2.6436767578125,0.231,2.86865234375,0.158,2.520263671875,0.283,1.86328125,0.57,2.0765380859375,0.459,2.7847900390625,0.226,2.0992431640625,0.455,2.5150146484375,0.284,1.9892578125,0.473,3.8021240234375,0.068,2.9658203125,0.17,2.4044189453125,0.304,4.41162109375,0.026,1.7755126953125,0.605,3.603759765625,0.099,2.522216796875,0.292,2.452880859375,0.322,1.5908203125,0.707,2.318603515625,0.351,2.0830078125,0.442,0.32625,0.18317431301186424,2.5645751953125,0.7077134001072612,0.48643616814941176,0.4090154374358984,OR2H2,Control,False
OR2J3,1.7120361328125,0.423,1.68505859375,0.397,3.28662109375,0.042,1.4927978515625,0.528,2.12890625,0.235,2.380615234375,0.155,2.202392578125,0.165,2.57568359375,0.114,1.5849609375,0.425,2.094970703125,0.223,2.5135498046875,0.122,1.284912109375,0.675,3.186767578125,0.04,1.4583740234375,0.57,3.6641845703125,0.021,2.8067626953125,0.08,2.229736328125,0.16,1.269775390625,0.706,1.8311767578125,0.31,2.11962890625,0.207,0.2798999999999999,0.2135989601788213,2.175445556640625,0.6774692764766672,0.5529815857523422,0.3375482189794979,OR2J3,Control,False
OR2M2,2.98828125,0.061,3.15478515625,0.038,3.0128173828125,0.052,1.6058349609375,0.437,2.3699951171875,0.153,3.577880859375,0.03,2.3421630859375,0.174,2.979736328125,0.067,1.7550048828125,0.369,3.722412109375,0.018,3.111328125,0.043,2.3525390625,0.163,4.15478515625,0.012,1.8597412109375,0.291,4.29296875,0.008,3.0665283203125,0.061,2.1888427734375,0.205,2.058349609375,0.221,2.31298828125,0.167,2.621826171875,0.093,0.13315,0.12231334867118099,2.7764404296875,0.7645252355971123,0.8756262135153703,0.44348835984152535,OR2M2,Control,False
OR2M3,2.8895263671875,0.126,3.260498046875,0.065,3.3896484375,0.064,1.8026123046875,0.485,2.8116455078125,0.165,4.0599365234375,0.018,3.333251953125,0.083,3.038818359375,0.115,2.3074951171875,0.262,4.4974365234375,0.016,3.6824951171875,0.047,2.695556640625,0.177,5.4539794921875,0.004,1.823974609375,0.478,3.9891357421875,0.023,3.2203369140625,0.095,2.754150390625,0.153,2.0867919921875,0.336,2.590087890625,0.2,2.221923828125,0.327,0.16195,0.14622530380780274,3.095465087890625,0.9215272384262565,0.7905922319036242,0.49072591019936607,OR2M3,Control,False
OR2T1,1.4310302734375,0.557,1.26708984375,0.688,2.294677734375,0.161,1.20068359375,0.726,1.22607421875,0.718,1.7249755859375,0.37,1.34521484375,0.604,1.9925537109375,0.261,1.200927734375,0.704,1.71484375,0.364,1.7218017578125,0.357,0.9462890625,0.901,2.72607421875,0.071,1.212158203125,0.692,2.8319091796875,0.067,1.7762451171875,0.347,1.6851806640625,0.404,0.6029052734375,0.996,1.2362060546875,0.718,1.4444580078125,0.558,0.5132,0.26285389177459906,1.57906494140625,0.5566270512751343,0.28970488989939447,0.19839999138537717,OR2T1,Control,False
OR2T11,1.0445556640625,0.854,1.4525146484375,0.507,1.65234375,0.408,0.967529296875,0.879,1.504638671875,0.508,1.851318359375,0.301,1.2191162109375,0.721,1.5093994140625,0.493,0.7532958984375,0.97,2.0855712890625,0.207,1.9100341796875,0.242,1.0765380859375,0.793,2.7200927734375,0.069,1.0386962890625,0.859,1.53271484375,0.49,1.2088623046875,0.695,1.451416015625,0.52,1.2281494140625,0.694,1.5224609375,0.491,1.4034423828125,0.568,0.56345,0.24496798394462643,1.456634521484375,0.4473604236824841,0.24913690906928987,0.16335059829469856,OR2T11,Control,False
OR2T33,1.635498046875,0.413,2.0369873046875,0.209,2.1307373046875,0.207,1.4580078125,0.542,2.1695556640625,0.222,2.306396484375,0.156,1.510986328125,0.486,2.3658447265625,0.155,1.212890625,0.694,2.943359375,0.047,2.38232421875,0.127,1.7607421875,0.336,3.703369140625,0.016,1.371826171875,0.601,2.7860107421875,0.079,1.7269287109375,0.41,1.7958984375,0.349,1.48876953125,0.492,1.9989013671875,0.222,1.8519287109375,0.306,0.30345000000000005,0.19173981136727417,2.03184814453125,0.6046604193230718,0.5178985465134015,0.30789124669429513,OR2T33,Control,False
OR2T4,1.40869140625,0.572,1.368896484375,0.563,1.5872802734375,0.436,1.4857177734375,0.479,1.16796875,0.751,1.9466552734375,0.247,1.4146728515625,0.511,1.8470458984375,0.309,1.175537109375,0.687,2.146240234375,0.172,1.6591796875,0.379,1.218505859375,0.669,2.8948974609375,0.05,1.1175537109375,0.759,2.29296875,0.134,1.34619140625,0.605,1.3016357421875,0.62,1.21875,0.711,1.95947265625,0.237,1.2127685546875,0.704,0.47975,0.22232311123559262,1.588531494140625,0.46442184109013607,0.318975964170277,0.20099582954774153,OR2T4,Control,False
OR2T5,1.5118408203125,0.225,1.4764404296875,0.205,1.328125,0.332,0.64404296875,0.934,1.22607421875,0.434,2.0789794921875,0.062,1.60693359375,0.171,1.5169677734375,0.235,1.13671875,0.458,2.390625,0.034,1.921630859375,0.09,1.1417236328125,0.446,2.6175537109375,0.031,0.5850830078125,0.964,2.3419189453125,0.044,1.785888671875,0.135,1.1939697265625,0.427,1.138916015625,0.457,1.089111328125,0.496,1.1339111328125,0.471,0.33255,0.268278620879586,1.49332275390625,0.5533985407860512,0.47812998850184163,0.17415368253534821,OR2T5,Control,False
OR2T6,6.1004638671875,0.001,6.2169189453125,0.0,6.3345947265625,0.002,4.4345703125,0.008,5.4296875,0.002,6.7120361328125,0.0,6.321533203125,0.0,5.8291015625,0.001,4.780029296875,0.005,7.1234130859375,0.0,7.3319091796875,0.001,5.2020263671875,0.005,7.9852294921875,0.0,4.7559814453125,0.006,6.8284912109375,0.0,6.3802490234375,0.002,6.6690673828125,0.0,3.360107421875,0.044,5.625244140625,0.002,5.5687255859375,0.003,0.0041,0.00967307712429874,5.949468994140625,1.0944213301783399,2.3861581781239307,0.7744782055259134,OR2T6,Control,False
OR2W1,6.1475830078125,0.004,7.3258056640625,0.0,6.3521728515625,0.004,4.02978515625,0.037,6.355712890625,0.005,7.3372802734375,0.002,6.796142578125,0.003,6.9595947265625,0.003,4.8397216796875,0.014,9.0113525390625,0.0,7.542236328125,0.001,6.0738525390625,0.001,10.543212890625,0.0,4.5078125,0.025,8.108154296875,0.0,6.7158203125,0.001,6.29150390625,0.006,4.8316650390625,0.013,5.5931396484375,0.006,4.6588134765625,0.02,0.0072499999999999995,0.009898830340260569,6.501068115234375,1.5939077873359946,2.1390633792999063,0.8129847164033396,OR2W1,Control,False
OR2Y1,1.0972900390625,0.807,1.1378173828125,0.762,2.3770751953125,0.12,1.8360595703125,0.28,1.3819580078125,0.571,1.3448486328125,0.604,1.6370849609375,0.36,2.17333984375,0.178,1.85498046875,0.234,1.9239501953125,0.25,1.8831787109375,0.254,1.2926025390625,0.599,3.392333984375,0.008,1.7425537109375,0.304,2.8658447265625,0.052,1.618408203125,0.402,1.8868408203125,0.254,0.9493408203125,0.878,1.53515625,0.448,1.286376953125,0.624,0.39944999999999997,0.2521975990119026,1.76085205078125,0.5999779171445715,0.39852670232999043,0.24572286747859745,OR2Y1,Control,False
OR4A5,1.36328125,0.711,1.6842041015625,0.51,2.606689453125,0.146,1.2344970703125,0.774,1.759765625,0.459,1.6673583984375,0.506,1.6793212890625,0.495,2.8428955078125,0.106,1.512451171875,0.593,2.2396240234375,0.223,2.03466796875,0.322,1.19384765625,0.795,3.482666015625,0.045,1.357177734375,0.729,3.127197265625,0.062,1.9505615234375,0.379,1.6619873046875,0.487,0.90576171875,0.956,1.3306884765625,0.743,1.1533203125,0.836,0.49385,0.2763790827259202,1.839398193359375,0.6970696079133412,0.3063961479278776,0.2646757555888379,OR4A5,Control,False
OR4B1,4.0263671875,0.009,4.3646240234375,0.002,3.759765625,0.006,3.9052734375,0.008,3.9781494140625,0.005,4.322998046875,0.003,4.2552490234375,0.003,4.112548828125,0.007,4.213134765625,0.007,4.8443603515625,0.002,5.108642578125,0.0,3.843017578125,0.007,5.39892578125,0.0,3.2833251953125,0.022,4.17041015625,0.006,4.20849609375,0.008,4.4493408203125,0.002,3.0552978515625,0.029,4.16455078125,0.004,3.968994140625,0.009,0.0069500000000000004,0.0070298236857428776,4.171673583984375,0.5366149441253556,2.157390760389438,0.6203103193565219,OR4B1,Control,False
OR4C12,2.37744140625,0.122,2.6578369140625,0.063,1.8553466796875,0.275,1.423583984375,0.548,2.2449951171875,0.152,2.9495849609375,0.051,2.19140625,0.157,2.6014404296875,0.088,1.5301513671875,0.452,3.869140625,0.007,2.7113037109375,0.067,2.12353515625,0.146,4.399658203125,0.004,1.3548583984375,0.539,2.8934326171875,0.055,1.8858642578125,0.28,2.0733642578125,0.2,1.891357421875,0.227,2.292724609375,0.135,1.693359375,0.375,0.19715000000000002,0.16670436328075552,2.351019287109375,0.7692298874632504,0.7051811905173134,0.3712561919708836,OR4C12,Control,False
OR4C15,2.3291015625,0.147,2.69921875,0.06,3.955810546875,0.009,2.3819580078125,0.111,3.0250244140625,0.046,2.627197265625,0.101,2.4921875,0.103,3.763916015625,0.01,2.490966796875,0.107,3.7611083984375,0.018,3.2261962890625,0.029,2.4676513671875,0.09,5.2840576171875,0.002,1.951904296875,0.257,4.3939208984375,0.007,3.16796875,0.047,2.7921142578125,0.07,1.6524658203125,0.404,2.3277587890625,0.135,2.0498046875,0.208,0.09805,0.09920498448852468,2.9420166015625,0.9009757642104709,1.0085081110898406,0.4686451190871748,OR4C15,Control,False
OR4C3,1.4068603515625,0.549,1.365966796875,0.567,2.200927734375,0.168,1.140625,0.759,1.6121826171875,0.396,1.876220703125,0.28,1.6142578125,0.397,2.347900390625,0.13,1.40380859375,0.506,2.34716796875,0.137,1.6834716796875,0.371,1.204833984375,0.657,3.1456298828125,0.037,1.2642822265625,0.652,2.9747314453125,0.041,1.7099609375,0.331,1.4288330078125,0.525,1.1414794921875,0.753,1.120849609375,0.751,1.183837890625,0.727,0.4367000000000001,0.24492278052695024,1.70869140625,0.601305079839798,0.35980686327651823,0.23266363518167116,OR4C3,Control,False
OR4C45,1.9853515625,0.259,2.528564453125,0.105,2.1522216796875,0.204,0.9791259765625,0.88,2.083740234375,0.213,2.788818359375,0.084,2.253662109375,0.171,1.8829345703125,0.332,1.4345703125,0.534,3.458740234375,0.02,3.1568603515625,0.027,2.084716796875,0.224,3.85205078125,0.018,0.9046630859375,0.933,2.6427001953125,0.086,2.2738037109375,0.131,2.289794921875,0.165,1.47021484375,0.506,1.7833251953125,0.314,1.625,0.425,0.2815500000000001,0.2610622984733922,2.18154296875,0.755900955872266,0.5504290434687893,0.338763771486139,OR4C45,Control,False
OR4D10,0.8878173828125,0.789,0.705810546875,0.923,1.7242431640625,0.186,1.33837890625,0.365,0.861572265625,0.814,1.2010498046875,0.536,0.85546875,0.825,1.2354736328125,0.502,0.7821044921875,0.857,0.951416015625,0.758,1.1224365234375,0.56,0.6556396484375,0.96,1.675048828125,0.2,1.1241455078125,0.535,2.015625,0.131,0.923583984375,0.773,1.1490478515625,0.548,1.009521484375,0.687,1.21630859375,0.491,1.622314453125,0.202,0.5820999999999998,0.2602903035175593,1.152850341796875,0.3667092241936249,0.23499493995663245,0.06177293266300512,OR4D10,Control,False
OR4D11,5.1119384765625,0.015,5.9007568359375,0.008,6.2156982421875,0.006,3.5341796875,0.093,5.2244873046875,0.011,6.5313720703125,0.004,5.5274658203125,0.006,6.40380859375,0.004,4.84912109375,0.016,7.5953369140625,0.003,6.030029296875,0.01,5.2177734375,0.014,9.201904296875,0.0,4.17724609375,0.041,8.061279296875,0.0,6.0023193359375,0.008,4.980224609375,0.021,3.842041015625,0.058,4.28076171875,0.03,3.502685546875,0.081,0.021450000000000004,0.026688209499998113,5.609521484375,1.4928063688938975,1.6683702823700677,0.7489258157019714,OR4D11,Control,False
