,guide_chr,guide_start,guide_end,protospacer_target,transcript_target,closest_gene,closest_dist
33,chr4,86935044,86935063,AFF1_+_87856192.23-P1P2-1,AFF1:P1P2,AFF1,42
34,chr4,86935010,86935029,AFF1_+_87856192.23-P1P2-2,AFF1:P1P2,AFF1,8
35,chr4,86935098,86935117,AFF1_+_87856246.23-P1P2-1,AFF1:P1P2,AFF1,96
36,chr4,86935062,86935081,AFF1_+_87856246.23-P1P2-2,AFF1:P1P2,AFF1,60
37,chr4,86935206,86935225,AFF1_-_87856378.23-P1P2-1,AFF1:P1P2,AFF1,204
38,chr4,86935211,86935230,AFF1_-_87856378.23-P1P2-2,AFF1:P1P2,AFF1,209
39,chrX,148500812,148500831,AFF2_+_147582328.23-P1P2-1,AFF2:P1P2,AFF2,204
40,chrX,148500809,148500828,AFF2_+_147582328.23-P1P2-2,AFF2:P1P2,AFF2,201
41,chrX,148501085,148501104,AFF2_+_147582601.23-P1P2-1,AFF2:P1P2,AFF2,477
42,chrX,148500904,148500923,AFF2_+_147582601.23-P1P2-2,AFF2:P1P2,AFF2,296
43,chrX,148500845,148500864,AFF2_-_147582385.23-P1P2-1,AFF2:P1P2,AFF2,237
44,chrX,148501171,148501190,AFF2_-_147582385.23-P1P2-2,AFF2:P1P2,AFF2,563
45,chr2,100142516,100142535,AFF3_+_100758974.23-P1P2-1,AFF3:P1P2,AFF3,65
46,chr2,100142311,100142330,AFF3_+_100758974.23-P1P2-2,AFF3:P1P2,AFF3,270
47,chr2,100142359,100142378,AFF3_-_100758841.23-P1P2-1,AFF3:P1P2,AFF3,222
48,chr2,100142435,100142454,AFF3_-_100758841.23-P1P2-2,AFF3:P1P2,AFF3,146
49,chr2,100142402,100142421,AFF3_-_100758884.23-P1P2-1,AFF3:P1P2,AFF3,179
50,chr2,100142430,100142449,AFF3_-_100758884.23-P1P2-2,AFF3:P1P2,AFF3,151
51,chr5,132963540,132963559,AFF4_-_132299252.23-P1P2-1,AFF4:P1P2,AFF4,85
52,chr5,132963579,132963598,AFF4_-_132299252.23-P1P2-2,AFF4:P1P2,AFF4,46
53,chr5,132963567,132963586,AFF4_-_132299279.23-P1P2-1,AFF4:P1P2,AFF4,58
54,chr5,132963620,132963639,AFF4_-_132299279.23-P1P2-2,AFF4:P1P2,AFF4,5
55,chr5,132963570,132963589,AFF4_-_132299282.23-P1P2-1,AFF4:P1P2,AFF4,55
56,chr5,132963573,132963592,AFF4_-_132299282.23-P1P2-2,AFF4:P1P2,AFF4,52
57,chr1,246931878,246931897,AHCTF1_+_247095176.23-P1P2-1,AHCTF1:P1P2,AHCTF1,61
58,chr1,246931857,246931876,AHCTF1_+_247095176.23-P1P2-2,AHCTF1:P1P2,AHCTF1,82
59,chr1,246931917,246931936,AHCTF1_+_247095215.23-P1P2-1,AHCTF1:P1P2,AHCTF1,22
60,chr1,246931893,246931912,AHCTF1_+_247095215.23-P1P2-2,AHCTF1:P1P2,AHCTF1,46
61,chr1,246931812,246931831,AHCTF1_-_247095134.23-P1P2-1,AHCTF1:P1P2,AHCTF1,127
62,chr1,246931690,246931709,AHCTF1_-_247095134.23-P1P2-2,AHCTF1:P1P2,AHCTF1,249
63,chr20,34302905,34302924,AHCY_-_32890731.23-P1P2-1,AHCY:P1P2,AHCY,76
64,chr20,34303314,34303333,AHCY_-_32890731.23-P1P2-2,AHCY:P1P2,AHCY,32
65,chr20,34303269,34303288,AHCY_-_32891095.23-P1P2-1,AHCY:P1P2,AHCY,77
66,chr20,34303275,34303294,AHCY_-_32891095.23-P1P2-2,AHCY:P1P2,AHCY,71
67,chr20,34303319,34303338,AHCY_-_32891145.23-P1P2-1,AHCY:P1P2,AHCY,27
68,chr20,34303124,34303143,AHCY_-_32891145.23-P1P2-2,AHCY:P1P2,AHCY,143
69,chr1,27604143,27604162,AHDC1_+_27930650.23-P1P2-1,AHDC1:P1P2,AHDC1,8
70,chr1,27604157,27604176,AHDC1_+_27930650.23-P1P2-2,AHDC1:P1P2,AHDC1,15
71,chr1,27604162,27604181,AHDC1_+_27930669.23-P1P2-1,AHDC1:P1P2,AHDC1,10
72,chr1,27604043,27604062,AHDC1_+_27930669.23-P1P2-2,AHDC1:P1P2,AHDC1,92
73,chr1,27604171,27604190,AHDC1_-_27930702.23-P1P2-1,AHDC1:P1P2,AHDC1,1
74,chr1,27604175,27604194,AHDC1_-_27930702.23-P1P2-2,AHDC1:P1P2,AHDC1,1
75,chr5,321781,321800,AHRR_+_321892.23-P1P2-1,AHRR:P1P2,AHRR,76
76,chr5,322598,322617,AHRR_+_321892.23-P1P2-2,AHRR:P1P2,AHRR,3
77,chr5,321764,321783,AHRR_-_321899.23-P1P2-1,AHRR:P1P2,AHRR,59
78,chr5,321939,321958,AHRR_-_321899.23-P1P2-2,AHRR:P1P2,AHRR,234
79,chr5,321970,321989,AHRR_-_322105.23-P1P2-1,AHRR:P1P2,AHRR,265
80,chr5,321718,321737,AHRR_-_322105.23-P1P2-2,AHRR:P1P2,AHRR,13
81,chr7,17298669,17298688,AHR_+_17338289.23-P1P2-1,AHR:P1P2,AHR,26
82,chr7,17298686,17298705,AHR_+_17338289.23-P1P2-2,AHR:P1P2,AHR,43
83,chr7,17298699,17298718,AHR_-_17338343.23-P1P2-1,AHR:P1P2,AHR,56
84,chr7,17298697,17298716,AHR_-_17338343.23-P1P2-2,AHR:P1P2,AHR,54
85,chr7,17298718,17298737,AHR_-_17338362.23-P1P2-1,AHR:P1P2,AHR,75
86,chr7,17298882,17298901,AHR_-_17338362.23-P1P2-2,AHR:P1P2,AHR,239
87,chr21,44285858,44285877,AIRE_-_45705761.23-P1P2-1,AIRE:P1P2,AIRE,9
88,chr21,44285923,44285942,AIRE_-_45705761.23-P1P2-2,AIRE:P1P2,AIRE,56
89,chr21,44285926,44285945,AIRE_-_45705829.23-P1P2-1,AIRE:P1P2,AIRE,59
90,chr21,44285954,44285973,AIRE_-_45705829.23-P1P2-2,AIRE:P1P2,AIRE,87
91,chr21,44286097,44286116,AIRE_-_45706000.23-P1P2-1,AIRE:P1P2,AIRE,230
92,chr21,44285835,44285854,AIRE_-_45706000.23-P1P2-2,AIRE:P1P2,AIRE,32
93,chr19,15418913,15418932,AKAP8L_+_15529720.23-P1P2-1,AKAP8L:P1P2,AKAP8L,66
94,chr19,15418979,15418998,AKAP8L_+_15529720.23-P1P2-2,AKAP8L:P1P2,AKAP8L,0
95,chr19,15418947,15418966,AKAP8L_+_15529754.23-P1P2-1,AKAP8L:P1P2,AKAP8L,32
96,chr19,15418907,15418926,AKAP8L_+_15529754.23-P1P2-2,AKAP8L:P1P2,AKAP8L,72
97,chr19,15418604,15418623,AKAP8L_-_15529435.23-P1P2-1,AKAP8L:P1P2,AKAP8L,375
98,chr19,15418544,15418563,AKAP8L_-_15529435.23-P1P2-2,AKAP8L:P1P2,AKAP8L,435
99,chr19,15379715,15379734,AKAP8_+_15490522.23-P1P2-1,AKAP8:P1P2,AKAP8,63
100,chr19,15379705,15379724,AKAP8_+_15490522.23-P1P2-2,AKAP8:P1P2,AKAP8,73
101,chr19,15379731,15379750,AKAP8_+_15490538.23-P1P2-1,AKAP8:P1P2,AKAP8,47
102,chr19,15379724,15379743,AKAP8_+_15490538.23-P1P2-2,AKAP8:P1P2,AKAP8,54
103,chr19,15379748,15379767,AKAP8_+_15490555.23-P1P2-1,AKAP8:P1P2,AKAP8,30
104,chr19,15379759,15379778,AKAP8_+_15490555.23-P1P2-2,AKAP8:P1P2,AKAP8,19
105,chr9,114387912,114387931,AKNA_+_117150188.23-P1-1,AKNA:P1,AKNA,61
106,chr9,114387971,114387990,AKNA_+_117150188.23-P1-2,AKNA:P1,AKNA,2
107,chr9,114387944,114387963,AKNA_+_117150220.23-P1-1,AKNA:P1,AKNA,29
108,chr9,114387968,114387987,AKNA_+_117150220.23-P1-2,AKNA:P1,AKNA,5
109,chr9,114387991,114388010,AKNA_+_117150267.23-P1-1,AKNA:P1,AKNA,18
110,chr9,114387893,114387912,AKNA_+_117150267.23-P1-2,AKNA:P1,AKNA,80
111,chr9,114398430,114398449,AKNA_+_117160706.23-P2-1,AKNA:P2,AKNA,33
112,chr9,114398453,114398472,AKNA_+_117160706.23-P2-2,AKNA:P2,AKNA,10
113,chr9,114398456,114398475,AKNA_+_117160732.23-P2-1,AKNA:P2,AKNA,7
114,chr9,114398167,114398186,AKNA_+_117160732.23-P2-2,AKNA:P2,AKNA,203
115,chr9,114398425,114398444,AKNA_-_117160725.23-P2-1,AKNA:P2,AKNA,38
116,chr9,114398208,114398227,AKNA_-_117160725.23-P2-2,AKNA:P2,AKNA,244
117,chr12,85280221,85280240,ALX1_+_85673995.23-P1P2-1,ALX1:P1P2,ALX1,10
118,chr12,85280208,85280227,ALX1_+_85673995.23-P1P2-2,ALX1:P1P2,ALX1,3
119,chr12,85280233,85280252,ALX1_+_85674007.23-P1P2-1,ALX1:P1P2,ALX1,22
120,chr12,85280290,85280309,ALX1_+_85674007.23-P1P2-2,ALX1:P1P2,ALX1,79
121,chr12,85280237,85280256,ALX1_-_85674035.23-P1P2-1,ALX1:P1P2,ALX1,26
122,chr12,85280244,85280263,ALX1_-_85674035.23-P1P2-2,ALX1:P1P2,ALX1,33
123,chr1,110070558,110070577,ALX3_+_110613176.23-P1P2-1,ALX3:P1P2,ALX3,105
124,chr1,110070253,110070272,ALX3_+_110613176.23-P1P2-2,ALX3:P1P2,ALX3,410
125,chr1,110070544,110070563,ALX3_-_110613186.23-P1P2-1,ALX3:P1P2,ALX3,119
126,chr1,110070570,110070589,ALX3_-_110613186.23-P1P2-2,ALX3:P1P2,ALX3,93
127,chr1,110070620,110070639,ALX3_-_110613262.23-P1P2-1,ALX3:P1P2,ALX3,43
128,chr1,110070549,110070568,ALX3_-_110613262.23-P1P2-2,ALX3:P1P2,ALX3,114
129,chr11,44309981,44310000,ALX4_+_44331527.23-P1P2-1,ALX4:P1P2,ALX4,149
130,chr11,44309662,44309681,ALX4_+_44331527.23-P1P2-2,ALX4:P1P2,ALX4,468
131,chr11,44309986,44310005,ALX4_-_44331556.23-P1P2-1,ALX4:P1P2,ALX4,144
132,chr11,44309866,44309885,ALX4_-_44331556.23-P1P2-2,ALX4:P1P2,ALX4,264
133,chr11,44309995,44310014,ALX4_-_44331565.23-P1P2-1,ALX4:P1P2,ALX4,135
134,chr11,44310001,44310020,ALX4_-_44331565.23-P1P2-2,ALX4:P1P2,ALX4,129
135,chr17,81891340,81891359,ALYREF_+_79849212.23-P1P2-1,ALYREF:P1P2,ALYREF,237
136,chr17,81891193,81891212,ALYREF_+_79849212.23-P1P2-2,ALYREF:P1P2,ALYREF,384
137,chr17,81891389,81891408,ALYREF_+_79849261.23-P1P2-1,ALYREF:P1P2,ALYREF,188
138,chr17,81891325,81891344,ALYREF_+_79849261.23-P1P2-2,ALYREF:P1P2,ALYREF,252
139,chr17,81891562,81891581,ALYREF_-_79849458.23-P1P2-1,ALYREF:P1P2,ALYREF,15
140,chr17,81891556,81891575,ALYREF_-_79849458.23-P1P2-2,ALYREF:P1P2,ALYREF,21
141,chr12,133235485,133235504,ANHX_+_133812067.23-P1P2-1,ANHX:P1P2,ANHX,9
142,chr12,133235488,133235507,ANHX_+_133812067.23-P1P2-2,ANHX:P1P2,ANHX,12
143,chr12,133235629,133235648,ANHX_+_133812211.23-P1P2-1,ANHX:P1P2,ANHX,153
144,chr12,133235804,133235823,ANHX_+_133812211.23-P1P2-2,ANHX:P1P2,ANHX,23
145,chr12,133235809,133235828,ANHX_+_133812391.23-P1P2-1,ANHX:P1P2,ANHX,18
146,chr12,133235820,133235839,ANHX_+_133812391.23-P1P2-2,ANHX:P1P2,ANHX,7
147,chr10,90921003,90921022,ANKRD1_+_92680756.23-P1P2-1,ANKRD1:P1P2,ANKRD1,75
148,chr10,90920906,90920925,ANKRD1_+_92680756.23-P1P2-2,ANKRD1:P1P2,ANKRD1,172
149,chr10,90921024,90921043,ANKRD1_+_92680777.23-P1P2-1,ANKRD1:P1P2,ANKRD1,54
150,chr10,90921102,90921121,ANKRD1_+_92680777.23-P1P2-2,ANKRD1:P1P2,ANKRD1,24
151,chr10,90921075,90921094,ANKRD1_+_92680828.23-P1P2-1,ANKRD1:P1P2,ANKRD1,3
152,chr10,90921097,90921116,ANKRD1_+_92680828.23-P1P2-2,ANKRD1:P1P2,ANKRD1,19
153,chr10,37125789,37125808,ANKRD30A_+_37414713.23-P1P2-1,ANKRD30A:P1P2,ANKRD30A,44
154,chr10,37125882,37125901,ANKRD30A_+_37414713.23-P1P2-2,ANKRD30A:P1P2,ANKRD30A,137
155,chr10,37125810,37125829,ANKRD30A_+_37414734.23-P1P2-1,ANKRD30A:P1P2,ANKRD30A,65
156,chr10,37125807,37125826,ANKRD30A_+_37414734.23-P1P2-2,ANKRD30A:P1P2,ANKRD30A,62
157,chr10,37125662,37125681,ANKRD30A_-_37414610.23-P1P2-1,ANKRD30A:P1P2,ANKRD30A,73
158,chr10,37125841,37125860,ANKRD30A_-_37414610.23-P1P2-2,ANKRD30A:P1P2,ANKRD30A,96
159,chr2,219229865,219229884,ANKZF1_+_220094583.23-P1P2-1,ANKZF1:P1P2,ANKZF1,68
160,chr2,219229800,219229819,ANKZF1_+_220094583.23-P1P2-2,ANKZF1:P1P2,ANKZF1,3
161,chr2,219229881,219229900,ANKZF1_+_220094599.23-P1P2-1,ANKZF1:P1P2,ANKZF1,84
162,chr2,219229847,219229866,ANKZF1_+_220094599.23-P1P2-2,ANKZF1:P1P2,ANKZF1,50
163,chr2,219229892,219229911,ANKZF1_+_220094610.23-P1P2-1,ANKZF1:P1P2,ANKZF1,95
164,chr2,219229833,219229852,ANKZF1_+_220094610.23-P1P2-2,ANKZF1:P1P2,ANKZF1,36
165,chr1,10430988,10431007,APITD1-CORT_+_10491041.23-P1P2-1,APITD1-CORT:P1P2,CENPS-CORT,247
166,chr1,10430503,10430522,APITD1-CORT_+_10491041.23-P1P2-2,APITD1-CORT:P1P2,CENPS-CORT,79
167,chr1,10430743,10430762,APITD1-CORT_-_10490820.23-P1P2-1,APITD1-CORT:P1P2,CENPS-CORT,2
168,chr1,10430724,10430743,APITD1-CORT_-_10490820.23-P1P2-2,APITD1-CORT:P1P2,CENPS-CORT,17
169,chr1,10430776,10430795,APITD1-CORT_-_10490853.23-P1P2-1,APITD1-CORT:P1P2,CENPS-CORT,35
170,chr1,10430787,10430806,APITD1-CORT_-_10490853.23-P1P2-2,APITD1-CORT:P1P2,CENPS-CORT,46
171,chr1,10430988,10431007,APITD1_+_10491041.23-P1P2-1,APITD1:P1P2,CENPS-CORT,247
172,chr1,10430503,10430522,APITD1_+_10491041.23-P1P2-2,APITD1:P1P2,CENPS-CORT,79
173,chr1,10430743,10430762,APITD1_-_10490820.23-P1P2-1,APITD1:P1P2,CENPS-CORT,2
174,chr1,10430724,10430743,APITD1_-_10490820.23-P1P2-2,APITD1:P1P2,CENPS-CORT,17
175,chr1,10430776,10430795,APITD1_-_10490853.23-P1P2-1,APITD1:P1P2,CENPS-CORT,35
176,chr1,10430787,10430806,APITD1_-_10490853.23-P1P2-2,APITD1:P1P2,CENPS-CORT,46
177,chr3,121567957,121567976,ARGFX_-_121286824.23-P1P2-1,ARGFX:P1P2,ARGFX,17
178,chr3,121567993,121568012,ARGFX_-_121286824.23-P1P2-2,ARGFX:P1P2,ARGFX,53
179,chr3,121568031,121568050,ARGFX_-_121286898.23-P1P2-1,ARGFX:P1P2,ARGFX,91
180,chr3,121568003,121568022,ARGFX_-_121286898.23-P1P2-2,ARGFX:P1P2,ARGFX,63
181,chr3,121568185,121568204,ARGFX_-_121287052.23-P1P2-1,ARGFX:P1P2,ARGFX,245
182,chr3,121567973,121567992,ARGFX_-_121287052.23-P1P2-2,ARGFX:P1P2,ARGFX,33
183,chr19,46918712,46918731,ARHGAP35_+_47421965.23-ENST00000404338.3-1,ARHGAP35:ENST00000404338.3,ARHGAP35,57724
184,chr19,46918798,46918817,ARHGAP35_+_47421965.23-ENST00000404338.3-2,ARHGAP35:ENST00000404338.3,ARHGAP35,57810
185,chr19,46918664,46918683,ARHGAP35_-_47421941.23-ENST00000404338.3-1,ARHGAP35:ENST00000404338.3,ARHGAP35,57676
186,chr19,46918723,46918742,ARHGAP35_-_47421941.23-ENST00000404338.3-2,ARHGAP35:ENST00000404338.3,ARHGAP35,57735
187,chr19,46918733,46918752,ARHGAP35_-_47422010.23-ENST00000404338.3-1,ARHGAP35:ENST00000404338.3,ARHGAP35,57745
188,chr19,46918849,46918868,ARHGAP35_-_47422010.23-ENST00000404338.3-2,ARHGAP35:ENST00000404338.3,ARHGAP35,57861
189,chr1,26696017,26696036,ARID1A_+_27022504.23-P1P2-1,ARID1A:P1P2,ARID1A,11
190,chr1,26696019,26696038,ARID1A_+_27022504.23-P1P2-2,ARID1A:P1P2,ARID1A,13
191,chr1,26696464,26696483,ARID1A_+_27022951.23-P1P2-1,ARID1A:P1P2,ARID1A,458
192,chr1,26696089,26696108,ARID1A_+_27022951.23-P1P2-2,ARID1A:P1P2,ARID1A,83
193,chr1,26696255,26696274,ARID1A_-_27022766.23-P1P2-1,ARID1A:P1P2,ARID1A,249
194,chr1,26696034,26696053,ARID1A_-_27022766.23-P1P2-2,ARID1A:P1P2,ARID1A,28
195,chr6,156777673,156777692,ARID1B_+_157098803.23-P1-1,ARID1B:P1,ARID1B,304
196,chr6,156777991,156778010,ARID1B_+_157098803.23-P1-2,ARID1B:P1,ARID1B,622
197,chr6,156779185,156779204,ARID1B_+_157100315.23-P2-1,ARID1B:P2,ARID1B,1816
198,chr6,156779212,156779231,ARID1B_+_157100315.23-P2-2,ARID1B:P2,ARID1B,1843
199,chr6,156777838,156777857,ARID1B_-_157098992.23-P1-1,ARID1B:P1,ARID1B,469
200,chr6,156777663,156777682,ARID1B_-_157098992.23-P1-2,ARID1B:P1,ARID1B,294
201,chr6,156777978,156777997,ARID1B_-_157099132.23-P1-1,ARID1B:P1,ARID1B,609
202,chr6,156777964,156777983,ARID1B_-_157099132.23-P1-2,ARID1B:P1,ARID1B,595
203,chr6,156779148,156779167,ARID1B_-_157100302.23-P2-1,ARID1B:P2,ARID1B,1779
204,chr6,156779041,156779060,ARID1B_-_157100302.23-P2-2,ARID1B:P2,ARID1B,1672
205,chr6,156779151,156779170,ARID1B_-_157100305.23-P2-1,ARID1B:P2,ARID1B,1782
206,chr6,156779179,156779198,ARID1B_-_157100305.23-P2-2,ARID1B:P2,ARID1B,1810
207,chr12,45729715,45729734,ARID2_+_46123494.23-P1P2-1,ARID2:P1P2,ARID2,18
208,chr12,45729704,45729723,ARID2_+_46123494.23-P1P2-2,ARID2:P1P2,ARID2,7
209,chr12,45729728,45729747,ARID2_-_46123531.23-P1P2-1,ARID2:P1P2,ARID2,31
210,chr12,45729741,45729760,ARID2_-_46123531.23-P1P2-2,ARID2:P1P2,ARID2,44
211,chr12,45729939,45729958,ARID2_-_46123742.23-P1P2-1,ARID2:P1P2,ARID2,242
212,chr12,45729745,45729764,ARID2_-_46123742.23-P1P2-2,ARID2:P1P2,ARID2,48
213,chr19,926086,926105,ARID3A_+_926082.23-P1P2-1,ARID3A:P1P2,ARID3A,60
214,chr19,926005,926024,ARID3A_+_926082.23-P1P2-2,ARID3A:P1P2,ARID3A,21
215,chr19,926002,926021,ARID3A_-_926022.23-P1P2-1,ARID3A:P1P2,ARID3A,24
216,chr19,926047,926066,ARID3A_-_926022.23-P1P2-2,ARID3A:P1P2,ARID3A,21
217,chr19,926415,926434,ARID3A_-_926435.23-P1P2-1,ARID3A:P1P2,ARID3A,389
218,chr19,926027,926046,ARID3A_-_926435.23-P1P2-2,ARID3A:P1P2,ARID3A,1
219,chr15,74541329,74541348,ARID3B_-_74833690.23-P1P2-1,ARID3B:P1P2,ARID3B,118
220,chr15,74541430,74541449,ARID3B_-_74833690.23-P1P2-2,ARID3B:P1P2,ARID3B,219
221,chr15,74541494,74541513,ARID3B_-_74833855.23-P1P2-1,ARID3B:P1P2,ARID3B,283
222,chr15,74541356,74541375,ARID3B_-_74833855.23-P1P2-2,ARID3B:P1P2,ARID3B,145
223,chr15,74541575,74541594,ARID3B_-_74833936.23-P1P2-1,ARID3B:P1P2,ARID3B,364
224,chr15,74541326,74541345,ARID3B_-_74833936.23-P1P2-2,ARID3B:P1P2,ARID3B,115
225,chr9,34628366,34628385,ARID3C_-_34628383.23-P1P2-1,ARID3C:P1P2,ARID3C,691
226,chr9,34628416,34628435,ARID3C_-_34628383.23-P1P2-2,ARID3C:P1P2,ARID3C,641
227,chr9,34628454,34628473,ARID3C_-_34628471.23-P1P2-1,ARID3C:P1P2,ARID3C,603
228,chr9,34628514,34628533,ARID3C_-_34628471.23-P1P2-2,ARID3C:P1P2,ARID3C,543
229,chr9,34628527,34628546,ARID3C_-_34628544.23-P1P2-1,ARID3C:P1P2,ARID3C,530
230,chr9,34628530,34628549,ARID3C_-_34628544.23-P1P2-2,ARID3C:P1P2,ARID3C,527
231,chr14,58298771,58298790,ARID4A_+_58765485.23-P1P2-1,ARID4A:P1P2,ARID4A,225
232,chr14,58298609,58298628,ARID4A_+_58765485.23-P1P2-2,ARID4A:P1P2,ARID4A,63
233,chr14,58298554,58298573,ARID4A_-_58765292.23-P1P2-1,ARID4A:P1P2,ARID4A,8
234,chr14,58298630,58298649,ARID4A_-_58765292.23-P1P2-2,ARID4A:P1P2,ARID4A,84
235,chr14,58298563,58298582,ARID4A_-_58765301.23-P1P2-1,ARID4A:P1P2,ARID4A,17
236,chr14,58298725,58298744,ARID4A_-_58765301.23-P1P2-2,ARID4A:P1P2,ARID4A,179
237,chr1,235327938,235327957,ARID4B_+_235491249.23-P1P2-1,ARID4B:P1P2,ARID4B,232
238,chr1,235328139,235328158,ARID4B_+_235491249.23-P1P2-2,ARID4B:P1P2,ARID4B,31
239,chr1,235328153,235328172,ARID4B_+_235491464.23-P1P2-1,ARID4B:P1P2,ARID4B,17
240,chr1,235328130,235328149,ARID4B_+_235491464.23-P1P2-2,ARID4B:P1P2,ARID4B,40
241,chr1,235327775,235327794,ARID4B_-_235491110.23-P1P2-1,ARID4B:P1P2,ARID4B,297
242,chr1,235328134,235328153,ARID4B_-_235491110.23-P1P2-2,ARID4B:P1P2,ARID4B,36
243,chr2,96536828,96536847,ARID5A_+_97202561.23-P1P2-1,ARID5A:P1P2,ARID5A,85
244,chr2,96536823,96536842,ARID5A_+_97202561.23-P1P2-2,ARID5A:P1P2,ARID5A,80
245,chr2,96536779,96536798,ARID5A_-_97202536.23-P1P2-1,ARID5A:P1P2,ARID5A,36
246,chr2,96536810,96536829,ARID5A_-_97202536.23-P1P2-2,ARID5A:P1P2,ARID5A,67
247,chr2,96536782,96536801,ARID5A_-_97202539.23-P1P2-1,ARID5A:P1P2,ARID5A,39
248,chr2,96536818,96536837,ARID5A_-_97202539.23-P1P2-2,ARID5A:P1P2,ARID5A,75
249,chr10,61901414,61901433,ARID5B_+_63661169.23-ENST00000279873.7-1,ARID5B:ENST00000279873.7,ARID5B,276
250,chr10,61901199,61901218,ARID5B_+_63661169.23-ENST00000279873.7-2,ARID5B:ENST00000279873.7,ARID5B,491
251,chr10,61901425,61901444,ARID5B_+_63661180.23-ENST00000279873.7-1,ARID5B:ENST00000279873.7,ARID5B,265
252,chr10,61901192,61901211,ARID5B_+_63661180.23-ENST00000279873.7-2,ARID5B:ENST00000279873.7,ARID5B,498
253,chr10,61901180,61901199,ARID5B_-_63660959.23-ENST00000279873.7-1,ARID5B:ENST00000279873.7,ARID5B,510
254,chr10,61901407,61901426,ARID5B_-_63660959.23-ENST00000279873.7-2,ARID5B:ENST00000279873.7,ARID5B,283
255,chr15,80404425,80404444,ARNT2_+_80696763.23-P1P2-1,ARNT2:P1P2,ARNT2,52
256,chr15,80404392,80404411,ARNT2_+_80696763.23-P1P2-2,ARNT2:P1P2,ARNT2,19
257,chr15,80404739,80404758,ARNT2_+_80697077.23-P1P2-1,ARNT2:P1P2,ARNT2,366
258,chr15,80404483,80404502,ARNT2_+_80697077.23-P1P2-2,ARNT2:P1P2,ARNT2,110
259,chr15,80404389,80404408,ARNT2_-_80696751.23-P1P2-1,ARNT2:P1P2,ARNT2,16
260,chr15,80404399,80404418,ARNT2_-_80696751.23-P1P2-2,ARNT2:P1P2,ARNT2,26
